month,fund_assets_eur,contributions_funds_eur,contributions_pik_eur,epi_ii,epi_ii_date
2002-07,5754758.63,,,99.99,2002-07-31
2002-08,6160882.3,,,100.63,2002-08-31
2002-09,7444864.17,,,100.24,2002-09-30
2002-10,8672543.73,,,100.57,2002-10-31
2002-11,9957136.51,,,101.64,2002-11-30
2002-12,11031166.04,,,101.307228,2002-12-31
2003-01,12461532.03,1501284.06,0.0,100.881738,2003-01-31
2003-02,15229305.51,2565028.24,0.0,100.891868,2003-02-28
2003-03,19385879.83,4393624.51,0.0,100.942522,2003-03-31
2003-04,23991296.07,4298645.44,0.0,102.826836,2003-04-30
2003-05,29211929.5,4939492.93,0.0,104.407229,2003-05-31
2003-06,33930473.05,4390733.75,0.0,105.805269,2003-06-30
2003-07,39161266.68,5218250.25,0.0,105.936968,2003-07-31
2003-08,44565250.71,4762686.14,0.0,107.851675,2003-08-31
2003-09,49045106.0,4832379.52,0.0,107.304616,2003-09-30
2003-10,53871332.02,4559341.81,0.0,108.003636,2003-10-31
2003-11,58174651.1,4576433.07,0.0,107.689583,2003-11-30
2003-12,63600967.63,4590626.19,0.0,108.999346,2003-12-31
2004-01,70434342.45,5580786.52,0.0,111.201133,2004-01-28
2004-02,76673972.93,4975927.24,0.0,112.127628,2004-02-25
2004-03,84505286.75,6696691.89,0.0,114.558313,2004-03-31
2004-04,90948170.22,7175786.96,0.0,114.394814,2004-04-28
2004-05,97461381.51,7225862.92,0.0,112.563625,2004-05-26
2004-06,105471968.42,7016088.51,0.0,113.293921,2004-06-30
2004-07,113240213.93,8353889.81,0.0,112.269327,2004-07-28
2004-08,121988020.33,7756577.43,0.0,113.501019,2004-08-25
2004-09,130222788.37,7070985.15,0.0,115.10331,2004-09-29
2004-10,139024165.03,7053663.29,0.0,116.051604,2004-10-27
2004-11,148856314.94,7279295.11,0.0,118.43869,2004-11-24
2004-12,158889438.44,8280911.83,0.0,119.839672,2004-12-31
2005-01,169681274.29,8962021.85,0.0,121.373619,2005-01-31
2005-02,182599805.36,7771385.08,0.0,124.105964,2005-02-28
2005-03,189238610.05,9127192.72,0.0,122.607968,2005-03-31
2005-04,195709073.63,9068759.14,0.0,122.116625,2005-04-30
2005-05,209185586.03,9227502.78,0.0,124.645243,2005-05-31
2005-06,222315508.64,9064713.51,0.0,127.101956,2005-06-30
2005-07,236774395.05,10765363.77,0.0,129.223118,2005-07-31
2005-08,249700857.28,9985268.5,0.0,130.805002,2005-08-31
2005-09,266673795.52,9362950.51,0.0,134.831615,2005-09-30
2005-10,269255609.47,9440032.4,0.0,131.536024,2005-10-31
2005-11,283504840.08,9659487.14,0.0,133.848929,2005-11-30
2005-12,297471151.32,10302231.43,0.0,135.556631,2005-12-31
2006-01,314592814.54,11939272.8,0.0,137.915317,2006-01-31
2006-02,327991633.9,10085897.21,0.0,139.447107,2006-02-28
2006-03,337024419.39,12278787.75,0.0,137.793316,2006-03-31
2006-04,350864754.59,11348508.7,0.0,139.203105,2006-04-30
2006-05,350854652.96,11823487.47,0.0,134.689069,2006-05-31
2006-06,359398307.73,12117830.41,0.0,132.276161,2006-06-30
2006-07,380081746.78,14784949.17,0.0,135.515964,2006-07-31
2006-08,396619853.02,12919760.26,0.0,136.817308,2006-08-31
2006-09,411919433.04,11877329.58,0.0,137.820427,2006-09-30
2006-10,434694899.85,12883901.17,0.0,140.951785,2006-10-31
2006-11,453797118.6,13172740.36,0.0,142.822467,2006-11-25
2006-12,475197665.15,13227243.87,0.0,145.373997,2006-12-31
2007-01,496965622.26,16376026.73,0.0,147.292934,2007-01-31
2007-02,507497798.29,12378270.6,0.0,146.900424,2007-02-28
2007-03,529267687.36,16903034.52,0.0,147.787205,2007-03-31
2007-04,551808180.08,15532647.88,0.0,150.258563,2007-04-30
2007-05,573518735.91,15932994.91,0.0,151.523317,2007-05-31
2007-06,596668718.67,16209563.41,0.0,152.933445,2007-06-30
2007-07,615665276.74,19650519.8,0.0,153.340492,2007-07-31
2007-08,625457901.7,17250317.33,0.0,150.810984,2007-08-31
2007-09,652083794.62,15100071.15,0.0,154.314498,2007-09-30
2007-10,682851317.03,17057074.4,0.0,157.59995,2007-10-31
2007-11,681139308.63,16755897.01,0.0,152.395561,2007-11-30
2007-12,702422745.63,16297597.92,0.0,154.321991,2007-12-31
2008-01,691328121.09,21144229.15,0.0,147.331205,2008-01-28
2008-02,715934868.86,19048746.14,0.0,148.936153,2008-02-25
2008-03,719463369.11,19157310.19,0.0,145.40218,2008-03-31
2008-04,750874072.26,19723591.63,0.0,147.701577,2008-04-28
2008-05,779959925.04,19176614.81,0.0,149.152204,2008-05-26
2008-06,779164697.95,19617619.75,0.0,147.516391,2008-06-24
2008-07,802658677.57,23513248.49,0.0,144.970078,2008-07-29
2008-08,820611353.33,20152708.2,0.0,145.355883,2008-08-26
2008-09,795052642.82,18064574.75,0.0,137.871267,2008-09-30
2008-10,723842377.48,19523424.87,0.0,118.565586,2008-10-28
2008-11,726516011.12,19217963.17,0.0,118.133484,2008-11-25
2008-12,726717442.0,17632522.66,0.0,116.846985,2008-12-31
2009-01,744268136.83,23980422.09,0.0,115.853786,2009-01-31
2009-02,737993314.31,16969305.05,0.0,112.465223,2009-02-28
2009-03,764575237.53,17895513.2,0.0,113.703801,2009-03-31
2009-04,810363556.43,17396586.0,0.0,117.594806,2009-04-30
2009-05,843388880.3,17168738.3,0.0,120.410818,2009-05-31
2009-06,862882043.94,15891083.25,0.0,120.796413,2009-06-30
2009-07,889556878.39,2990294.92,0.0,123.881173,2009-07-31
2009-08,907248866.98,434487.23,0.0,126.884141,2009-08-31
