year,global_stock_index_eur_pct,euro_govt_bond_index_eur_pct,note,source_equity,source_bond
2003,10.64,3.86,,Yahoo Finance (Institutional EUR Acc),Yahoo Finance
2004,6.1,7.54,,Yahoo Finance (Institutional EUR Acc),Yahoo Finance
2005,25.87,5.03,,Yahoo Finance (Institutional EUR Acc),Yahoo Finance
2006,7.14,-0.52,,Yahoo Finance (Institutional EUR Acc),Yahoo Finance
2007,-1.89,1.77,,Yahoo Finance (Institutional EUR Acc),Yahoo Finance
2008,-37.76,8.81,,Yahoo Finance (Institutional EUR Acc),Yahoo Finance
2009,25.48,4.28,,"Tuleva 2019 sheet (Vanguard data, Investor EUR Acc)",Tuleva 2019 sheet (Vanguard data)
2010,19.14,1.31,,"Tuleva 2019 sheet (Vanguard data, Investor EUR Acc)",Tuleva 2019 sheet (Vanguard data)
2011,-2.63,3.34,,"Tuleva 2019 sheet (Vanguard data, Investor EUR Acc)",Tuleva 2019 sheet (Vanguard data)
2012,13.77,10.42,,"Tuleva 2019 sheet (Vanguard data, Investor EUR Acc)",Tuleva 2019 sheet (Vanguard data)
2013,20.87,1.95,,"Tuleva 2019 sheet (Vanguard data, Investor EUR Acc)",Tuleva 2019 sheet (Vanguard data)
2014,19.36,12.18,,"Tuleva 2019 sheet (Vanguard data, Investor EUR Acc)",Tuleva 2019 sheet (Vanguard data)
2015,10.21,1.3,,"Tuleva 2019 sheet (Vanguard data, Investor EUR Acc)",Tuleva 2019 sheet (Vanguard data)
2016,10.5,3.0,,Vanguard factsheet 31.07.2026 (Investor EUR Acc),Vanguard factsheet 31.07.2026
2017,7.31,-0.08,,Vanguard factsheet 31.07.2026 (Investor EUR Acc),Vanguard factsheet 31.07.2026
2018,-4.3,0.77,,Vanguard factsheet 31.07.2026 (Investor EUR Acc),Vanguard factsheet 31.07.2026
2019,29.85,6.23,,Vanguard factsheet 31.07.2026 (Investor EUR Acc),Vanguard factsheet 31.07.2026
2020,6.25,4.66,,Vanguard factsheet 31.07.2026 (Investor EUR Acc),Vanguard factsheet 31.07.2026
2021,30.98,-3.49,,Vanguard factsheet 31.07.2026 (Investor EUR Acc),Vanguard factsheet 31.07.2026
2022,-12.85,-18.28,,Vanguard factsheet 31.07.2026 (Investor EUR Acc),Vanguard factsheet 31.07.2026
2023,19.54,7.05,,Vanguard factsheet 31.07.2026 (Investor EUR Acc),Vanguard factsheet 31.07.2026
2024,26.5,1.8,,Vanguard factsheet 31.07.2026 (Investor EUR Acc),Vanguard factsheet 31.07.2026
2025,6.65,0.64,,Vanguard factsheet 31.07.2026 (Investor EUR Acc),Vanguard factsheet 31.07.2026
2026,12.5,-0.43,YTD to 31.07.2026,Vanguard factsheet 31.07.2026 (Investor EUR Acc),Vanguard factsheet 31.07.2026
