year,sissemaksed,valjamaksed,netovoog,epi_tootlus,kasum,vanguard_tootlus,vanguard_kasum,maht_lopp,vanguard_maht_lopp
2003,51,1,50,7.6,3,7.2,2,64,63
2004,84,0,85,9.9,11,6.8,7,159,155
2005,113,2,111,13.1,28,15.4,32,297,298
2006,148,0,148,7.2,30,3.3,12,475,458
2007,195,1,194,6.2,33,-0.1,0,702,652
2008,236,1,235,-24.3,-211,-14.5,-112,727,775
2009,117,7,109,12.7,107,14.9,128,942,1012
2010,37,8,29,9.7,93,14.7,151,1064,1191
2011,122,5,117,-4.5,-51,-1.1,-14,1130,1294
2012,231,10,221,9.5,116,12.9,181,1467,1696
2013,264,13,251,3.2,51,16.1,293,1769,2240
2014,347,18,329,5.1,98,17.6,421,2196,2990
2015,385,24,361,2.5,52,8.0,252,2609,3603
2016,416,28,388,3.3,96,8.6,327,3093,4319
2017,454,36,418,3.7,122,5.5,247,3633,4984
2018,428,17,411,-2.8,-112,-3.0,-157,3933,5238
2019,465,37,428,9.5,391,23.9,1302,4752,6969
2020,368,28,341,3.7,200,5.9,419,5293,7729
2021,259,1685,-1426,12.7,611,22.4,1623,4477,7926
2022,435,493,-58,-8.6,-378,-14.2,-1116,4042,6752
2023,724,288,435,10.9,475,16.4,1161,4952,8348
2024,487,281,207,16.1,808,20.3,1714,5967,10269
2025,572,281,290,8.9,549,5.1,535,6806,11095
2026,362,94,268,8.4,584,9.3,1038,7659,12401
