Fund Holdings as of,"26/Feb/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","568,078,054.47","11.47","568,078,054.47","32,742,017.00","17.35","Brazil","XBSP","BRL"
"NU","NU HOLDINGS LTD CLASS A","Financials","Equity","460,514,649.72","9.30","460,514,649.72","30,578,662.00","15.06","Brazil","New York Stock Exchange Inc.","USD"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Financials","Equity","459,092,133.93","9.27","459,092,133.93","49,518,292.00","9.27","Brazil","XBSP","BRL"
"PETR4","PETROLEO BRASILEIRO PREF SA","Energy","Equity","321,297,792.84","6.49","321,297,792.84","41,707,471.00","7.70","Brazil","XBSP","BRL"
"PETR3","PETROLEO BRASILEIRO SA PETROBRAS","Energy","Equity","278,758,019.16","5.63","278,758,019.16","33,527,580.00","8.31","Brazil","XBSP","BRL"
"BBDC4","BANCO BRADESCO PREF SA","Financials","Equity","194,467,697.26","3.93","194,467,697.26","47,659,880.00","4.08","Brazil","XBSP","BRL"
"B3SA3","B3 BRASIL BOLSA BALCAO SA","Financials","Equity","165,746,507.00","3.35","165,746,507.00","47,477,833.00","3.49","Brazil","XBSP","BRL"
"ITSA4","ITAUSA INVESTIMENTOS ITAU PREF SA","Financials","Equity","151,258,216.29","3.05","151,258,216.29","53,087,504.00","2.85","Brazil","XBSP","BRL"
"WEGE3","WEG SA","Industrials","Equity","145,365,634.87","2.94","145,365,634.87","15,136,366.00","9.60","Brazil","XBSP","BRL"
"ABEV3","AMBEV SA","Consumer Staples","Equity","136,087,869.09","2.75","136,087,869.09","42,640,451.00","3.19","Brazil","XBSP","BRL"
"SBSP3","COMPANHIA DE SANEAMENTO BASICO DE","Utilities","Equity","134,338,288.17","2.71","134,338,288.17","4,442,590.00","30.24","Brazil","XBSP","BRL"
"AXIA3","CENTRAIS ELETR BRAS-ELETROBRAS SA","Utilities","Equity","134,322,767.51","2.71","134,322,767.51","10,976,702.00","12.24","Brazil","XBSP","BRL"
"BPAC11","BCO BTG PACTUAL UNT SA","Financials","Equity","130,376,099.25","2.63","130,376,099.25","10,805,308.00","12.07","Brazil","XBSP","BRL"
"EMBJ3","EMBRAER SA","Industrials","Equity","116,423,695.92","2.35","116,423,695.92","6,344,018.00","18.35","Brazil","XBSP","BRL"
"EQTL3","EQUATORIAL SA","Utilities","Equity","89,841,414.87","1.81","89,841,414.87","10,767,881.00","8.34","Brazil","XBSP","BRL"
"BBAS3","BANCO DO BRASIL SA","Financials","Equity","82,356,440.50","1.66","82,356,440.50","15,522,589.00","5.31","Brazil","XBSP","BRL"
"RENT3","LOCALIZA RENT A CAR SA","Industrials","Equity","81,511,903.35","1.65","81,511,903.35","8,307,509.00","9.81","Brazil","XBSP","BRL"
"XP","XP CLASS A INC","Financials","Equity","79,382,961.84","1.60","79,382,961.84","3,634,751.00","21.84","Brazil","NASDAQ","USD"
