Fund Holdings as of,"26/Feb/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"600519","KWEICHOW MOUTAI LTD A","Consumer Staples","Equity","113,938,047.64","3.82","113,938,047.64","531,671.00","214.30","China","Shanghai Stock Exchange","CNY"
"300750","CONTEMPORARY AMPEREX TECHNOLOGY LT","Industrials","Equity","94,508,247.52","3.17","94,508,247.52","1,868,805.00","50.57","China","Shenzhen Stock Exchange","CNY"
"601899","ZIJIN MINING GROUP LTD A","Materials","Equity","50,296,086.89","1.69","50,296,086.89","8,740,558.00","5.75","China","Shanghai Stock Exchange","CNY"
"600036","CHINA MERCHANTS BANK LTD A","Financials","Equity","49,482,122.57","1.66","49,482,122.57","8,747,979.00","5.66","China","Shanghai Stock Exchange","CNY"
"601138","FOXCONN INDUSTRIAL INTERNET LTD A","Information Technology","Equity","47,587,547.50","1.60","47,587,547.50","5,618,369.00","8.47","China","Shanghai Stock Exchange","CNY"
"601318","PING AN INSURANCE (GROUP) OF CHINA","Financials","Equity","41,943,829.77","1.41","41,943,829.77","4,519,233.00","9.28","China","Shanghai Stock Exchange","CNY"
"600900","CHINA YANGTZE POWER LTD A","Utilities","Equity","39,504,698.58","1.33","39,504,698.58","10,379,541.00","3.81","China","Shanghai Stock Exchange","CNY"
"300308","ZHONGJI INNOLIGHT LTD A","Information Technology","Equity","39,337,385.79","1.32","39,337,385.79","470,341.00","83.64","China","Shenzhen Stock Exchange","CNY"
"688041","HYGON INFORMATION TECHNOLOGY LTD A","Information Technology","Equity","36,475,552.16","1.22","36,475,552.16","987,568.00","36.93","China","Shanghai Stock Exchange","CNY"
"601288","AGRICULTURAL BANK OF CHINA LTD A","Financials","Equity","33,916,023.44","1.14","33,916,023.44","36,144,338.00","0.94","China","Shanghai Stock Exchange","CNY"
"688256","CAMBRICON TECHNOLOGIES CORPORATION","Information Technology","Equity","30,445,721.20","1.02","30,445,721.20","178,220.00","170.83","China","Shanghai Stock Exchange","CNY"
"002594","BYD LTD A","Consumer Discretionary","Equity","30,326,850.38","1.02","30,326,850.38","2,309,296.00","13.13","China","Shenzhen Stock Exchange","CNY"
"601398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","27,228,842.78","0.91","27,228,842.78","26,766,422.00","1.02","China","Shanghai Stock Exchange","CNY"
"603993","CHINA MOLYBDENUM LTD A","Materials","Equity","25,043,753.24","0.84","25,043,753.24","7,440,050.00","3.37","China","Shanghai Stock Exchange","CNY"
"000858","WULIANGYE YIBIN LTD A","Consumer Staples","Equity","24,960,047.88","0.84","24,960,047.88","1,643,932.00","15.18","China","Shenzhen Stock Exchange","CNY"
"601166","INDUSTRIAL BANK LTD A","Financials","Equity","24,002,655.03","0.81","24,002,655.03","8,998,431.00","2.67","China","Shanghai Stock Exchange","CNY"
"300502","EOPTOLINK TECHNOLOGY INC LTD A","Information Technology","Equity","23,716,453.49","0.80","23,716,453.49","420,480.00","56.40","China","Shenzhen Stock Exchange","CNY"
"002475","LUXSHARE PRECISION INDUSTRY LTD A","Information Technology","Equity","23,155,571.66","0.78","23,155,571.66","3,096,673.00","7.48","China","Shenzhen Stock Exchange","CNY"
"600276","JIANGSU HENGRUI MEDICINE LTD A","Health Care","Equity","22,495,741.53","0.75","22,495,741.53","2,713,529.00","8.29","China","Shanghai Stock Exchange","CNY"
"002371","NAURA TECHNOLOGY GROUP LTD A","Information Technology","Equity","21,997,384.83","0.74","21,997,384.83","307,850.00","71.45","China","Shenzhen Stock Exchange","CNY"
"300059","EAST MONEY INFORMATION LTD A","Financials","Equity","21,988,440.47","0.74","21,988,440.47","6,686,245.00","3.29","China","Shenzhen Stock Exchange","CNY"
"601328","BANK OF COMMUNICATIONS LTD A","Financials","Equity","21,850,167.21","0.73","21,850,167.21","22,719,525.00","0.96","China","Shanghai Stock Exchange","CNY"
"600030","CITIC SECURITIES LTD A","Financials","Equity","20,866,462.89","0.70","20,866,462.89","5,214,177.00","4.00","China","Shanghai Stock Exchange","CNY"
"600000","SHANGHAI PUDONG DEVELOPMENT BANK L","Financials","Equity","19,165,370.85","0.64","19,165,370.85","13,476,427.00","1.42","China","Shanghai Stock Exchange","CNY"
"300274","SUNGROW POWER SUPPLY LTD A","Industrials","Equity","18,723,873.92","0.63","18,723,873.92","879,540.00","21.29","China","Shenzhen Stock Exchange","CNY"
"600150","CHINA CSSC HOLDINGS LTD A","Industrials","Equity","17,696,747.02","0.59","17,696,747.02","3,177,056.00","5.57","China","Shanghai Stock Exchange","CNY"
"300394","SUZHOU TFC OPTICAL COMMUNICATION L","Information Technology","Equity","17,592,082.94","0.59","17,592,082.94","332,472.00","52.91","China","Shenzhen Stock Exchange","CNY"
"600309","WANHUA CHEMICAL GROUP LTD A","Materials","Equity","17,445,259.65","0.59","17,445,259.65","1,325,894.00","13.16","China","Shanghai Stock Exchange","CNY"
"601601","CHINA PACIFIC INSURANCE (GROUP) LT","Financials","Equity","17,333,537.01","0.58","17,333,537.01","2,895,327.00","5.99","China","Shanghai Stock Exchange","CNY"
"000333","MIDEA GROUP LTD A","Consumer Discretionary","Equity","17,245,081.65","0.58","17,245,081.65","1,488,800.00","11.58","China","Shenzhen Stock Exchange","CNY"
"601088","CHINA SHENHUA ENERGY LTD A","Energy","Equity","17,162,582.74","0.58","17,162,582.74","2,807,147.00","6.11","China","Shanghai Stock Exchange","CNY"
"300476","VICTORY GIANT TECHNOLOGY HUIZHOU L","Information Technology","Equity","16,872,588.37","0.57","16,872,588.37","366,182.00","46.08","China","Shenzhen Stock Exchange","CNY"
"601211","GUOTAI HAITONG SECURITIES LTD A","Financials","Equity","16,564,981.69","0.56","16,564,981.69","5,974,396.00","2.77","China","Shanghai Stock Exchange","CNY"
"002714","MUYUAN FOODS LTD A","Consumer Staples","Equity","15,243,647.21","0.51","15,243,647.21","2,310,968.00","6.60","China","Shenzhen Stock Exchange","CNY"
"603259","WUXI APPTEC LTD A","Health Care","Equity","14,911,922.48","0.50","14,911,922.48","1,040,959.00","14.33","China","Shanghai Stock Exchange","CNY"
"601816","BEIJING-SHANGHAI HIGH SPEED RAILWA","Industrials","Equity","14,760,545.86","0.50","14,760,545.86","20,736,900.00","0.71","China","Shanghai Stock Exchange","CNY"
"601857","PETROCHINA LTD A","Energy","Equity","14,673,117.00","0.49","14,673,117.00","9,218,598.00","1.59","China","Shanghai Stock Exchange","CNY"
"688012","ADVANCED MICRO-FABRICATION EQUIPME","Information Technology","Equity","14,315,079.65","0.48","14,315,079.65","266,651.00","53.68","China","Shanghai Stock Exchange","CNY"
"300760","SHENZHEN MINDRAY BIO-MEDICAL ELECT","Health Care","Equity","14,153,630.25","0.47","14,153,630.25","517,067.00","27.37","China","Shenzhen Stock Exchange","CNY"
"601225","SHAANXI COAL INDUSTRY LTD A","Energy","Equity","13,937,891.67","0.47","13,937,891.67","4,106,816.00","3.39","China","Shanghai Stock Exchange","CNY"
"600406","NARI TECHNOLOGY LTD A","Industrials","Equity","13,623,644.32","0.46","13,623,644.32","3,396,875.00","4.01","China","Shanghai Stock Exchange","CNY"
"600111","CHINA NORTHERN RARE EARTH (GROUP)","Materials","Equity","13,216,604.36","0.44","13,216,604.36","1,530,040.00","8.64","China","Shanghai Stock Exchange","CNY"
"000001","PING AN BANK LTD A","Financials","Equity","13,062,596.43","0.44","13,062,596.43","8,221,865.00","1.59","China","Shenzhen Stock Exchange","CNY"
"600028","CHINA PETROLEUM & CHEMICAL CORP A","Energy","Equity","13,033,775.95","0.44","13,033,775.95","13,740,291.00","0.95","China","Shanghai Stock Exchange","CNY"
"601988","BANK OF CHINA LTD A","Financials","Equity","12,983,974.20","0.44","12,983,974.20","16,856,500.00","0.77","China","Shanghai Stock Exchange","CNY"
"601668","CHINA STATE CONSTRUCTION ENGINEERI","Industrials","Equity","12,875,527.35","0.43","12,875,527.35","17,513,277.00","0.74","China","Shanghai Stock Exchange","CNY"
"000792","QINGHAI SALT LAKE INDUSTRY LTD A","Materials","Equity","12,785,795.72","0.43","12,785,795.72","2,242,447.00","5.70","China","Shenzhen Stock Exchange","CNY"
"002142","BANK OF NINGBO LTD A","Financials","Equity","12,686,481.57","0.43","12,686,481.57","2,801,755.00","4.53","China","Shenzhen Stock Exchange","CNY"
"603986","GIGADEVICE SEMICONDUCTOR INC A","Information Technology","Equity","12,660,536.89","0.42","12,660,536.89","279,964.00","45.22","China","Shanghai Stock Exchange","CNY"
"000338","WEICHAI POWER LTD A","Industrials","Equity","12,366,434.56","0.41","12,366,434.56","2,895,574.00","4.27","China","Shenzhen Stock Exchange","CNY"
"600809","SHANXI XINGHUACUN FEN WINE FACTORY","Consumer Staples","Equity","12,257,360.31","0.41","12,257,360.31","519,658.00","23.59","China","Shanghai Stock Exchange","CNY"
"600031","SANY HEAVY INDUSTRY LTD A","Industrials","Equity","12,243,883.61","0.41","12,243,883.61","3,587,589.00","3.41","China","Shanghai Stock Exchange","CNY"
"002916","SHENNAN CIRCUITS LTD A","Information Technology","Equity","12,006,218.60","0.40","12,006,218.60","283,119.00","42.41","China","Shenzhen Stock Exchange","CNY"
"600919","BANK OF JIANGSU CORPORATION LTD A","Financials","Equity","11,882,331.78","0.40","11,882,331.78","7,779,573.00","1.53","China","Shanghai Stock Exchange","CNY"
"601919","COSCO SHIPPING HOLDINGS LTD A","Industrials","Equity","11,758,271.76","0.39","11,758,271.76","5,338,271.00","2.20","China","Shanghai Stock Exchange","CNY"
"688008","MONTAGE TECHNOLOGY LTD A","Information Technology","Equity","11,621,462.10","0.39","11,621,462.10","481,539.00","24.13","China","Shanghai Stock Exchange","CNY"
"601939","CHINA CONSTRUCTION BANK CORP A","Financials","Equity","11,310,394.21","0.38","11,310,394.21","8,977,199.00","1.26","China","Shanghai Stock Exchange","CNY"
"600346","HENGLI PETROCHEMICAL LTD A","Materials","Equity","11,108,153.23","0.37","11,108,153.23","3,005,131.00","3.70","China","Shanghai Stock Exchange","CNY"
"002352","S.F. HOLDING LTD A","Industrials","Equity","11,087,504.35","0.37","11,087,504.35","2,022,893.00","5.48","China","Shenzhen Stock Exchange","CNY"
"601600","ALUMINUM CORPORATION OF CHINA LTD","Materials","Equity","10,994,359.63","0.37","10,994,359.63","5,588,500.00","1.97","China","Shanghai Stock Exchange","CNY"
"300033","HITHINK ROYALFLUSH INFORMATION NET","Financials","Equity","10,960,877.57","0.37","10,960,877.57","227,242.00","48.23","China","Shenzhen Stock Exchange","CNY"
"600183","SHENGYI TECHNOLOGY LTD A","Information Technology","Equity","10,921,362.47","0.37","10,921,362.47","1,023,586.00","10.67","China","Shanghai Stock Exchange","CNY"
