Fund Holdings as of,"13/Mar/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","947’430’612.66","17.92","947’430’612.66","16’247’800.00","58.31","Taiwan","Taiwan Stock Exchange","TWD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","383’560’646.15","7.25","383’560’646.15","3’121’682.00","122.87","Korea (South)","Korea Exchange (Stock Market)","KRW"
"4BRZ","ISHARES MSCI BRAZIL UCITS ET USDHA","Financials","Equity","328’556’656.40","6.21","328’556’656.40","6’537’140.00","50.26","Germany","Xetra","USD"
"000660","SK HYNIX INC","Information Technology","Equity","219’409’046.17","4.15","219’409’046.17","360’084.00","609.33","Korea (South)","Korea Exchange (Stock Market)","KRW"
"HDFCBANK","HDFC BANK LTD","Financials","Equity","66’457’946.20","1.26","66’457’946.20","7’520’648.00","8.84","India","National Stock Exchange Of India","INR"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","59’844’560.22","1.13","59’844’560.22","4’007’336.00","14.93","India","National Stock Exchange Of India","INR"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","55’857’789.17","1.06","55’857’789.17","8’328’800.00","6.71","Taiwan","Taiwan Stock Exchange","TWD"
"2308","DELTA ELECTRONICS INC","Information Technology","Equity","55’710’053.62","1.05","55’710’053.62","1’286’500.00","43.30","Taiwan","Taiwan Stock Exchange","TWD"
"2454","MEDIATEK INC","Information Technology","Equity","54’514’484.03","1.03","54’514’484.03","1’013’700.00","53.78","Taiwan","Taiwan Stock Exchange","TWD"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","48’103’762.16","0.91","48’103’762.16","536’524.00","89.66","Korea (South)","Korea Exchange (Stock Market)","KRW"
"USD","USD CASH","Cash and/or Derivatives","Cash","46’541’236.42","0.88","46’541’236.42","46’541’236.00","100.00","United States","-","USD"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","42’724’586.19","0.81","42’724’586.19","3’147’993.00","13.57","India","National Stock Exchange Of India","INR"
"1120","AL RAJHI BANK","Financials","Equity","34’658’222.15","0.66","34’658’222.15","1’285’094.00","26.97","Saudi Arabia","Saudi Stock Exchange","SAR"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","33’170’349.43","0.63","33’170’349.43","1’700’546.00","19.51","India","National Stock Exchange Of India","INR"
"ANG","ANGLOGOLD ASHANTI PLC","Materials","Equity","31’857’021.24","0.60","31’857’021.24","332’875.00","95.70","South Africa","Johannesburg Stock Exchange","ZAR"
"005380","HYUNDAI MOTOR","Consumer Discretionary","Equity","30’198’865.04","0.57","30’198’865.04","87’235.00","346.18","Korea (South)","Korea Exchange (Stock Market)","KRW"
"NPN","NASPERS LIMITED LTD CLASS N","Consumer Discretionary","Equity","29’456’582.30","0.56","29’456’582.30","514’731.00","57.23","South Africa","Johannesburg Stock Exchange","ZAR"
"INFY","INFOSYS LTD","Information Technology","Equity","28’902’057.12","0.55","28’902’057.12","2’140’623.00","13.50","India","National Stock Exchange Of India","INR"
"2222","SAUDI ARABIAN OIL","Energy","Equity","28’268’024.05","0.53","28’268’024.05","3’949’104.00","7.16","Saudi Arabia","Saudi Stock Exchange","SAR"
"GFI","GOLD FIELDS LTD","Materials","Equity","27’288’826.93","0.52","27’288’826.93","592’802.00","46.03","South Africa","Johannesburg Stock Exchange","ZAR"
"105560","KB FINANCIAL GROUP INC","Financials","Equity","23’682’522.82","0.45","23’682’522.82","237’533.00","99.70","Korea (South)","Korea Exchange (Stock Market)","KRW"
"3711","ASE TECHNOLOGY HOLDING LTD","Information Technology","Equity","23’323’670.02","0.44","23’323’670.02","2’184’400.00","10.68","Taiwan","Taiwan Stock Exchange","TWD"
"012450","HANWHA AEROSPACE LTD","Industrials","Equity","22’050’238.04","0.42","22’050’238.04","22’131.00","996.35","Korea (South)","Korea Exchange (Stock Market)","KRW"
"402340","SK SQUARE LTD","Industrials","Equity","21’834’126.35","0.41","21’834’126.35","61’064.00","357.56","Korea (South)","Korea Exchange (Stock Market)","KRW"
