Fund Holdings as of,"26/Feb/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"1120","AL RAJHI BANK","Financials","Equity","89,339,352.87","17.52","89,339,352.87","3,317,409.00","26.93","Saudi Arabia","Saudi Stock Exchange","SAR"
"2222","SAUDI ARABIAN OIL","Energy","Equity","68,149,904.44","13.37","68,149,904.44","10,239,960.00","6.66","Saudi Arabia","Saudi Stock Exchange","SAR"
"1180","THE SAUDI NATIONAL BANK","Financials","Equity","55,301,938.42","10.85","55,301,938.42","4,976,113.00","11.11","Saudi Arabia","Saudi Stock Exchange","SAR"
"1211","SAUDI ARABIAN MINING","Materials","Equity","43,120,327.54","8.46","43,120,327.54","2,303,682.00","18.72","Saudi Arabia","Saudi Stock Exchange","SAR"
"7010","SAUDI TELECOM","Communication","Equity","37,746,731.55","7.40","37,746,731.55","3,385,111.00","11.15","Saudi Arabia","Saudi Stock Exchange","SAR"
"2010","SAUDI BASIC INDUSTRIES","Materials","Equity","22,014,414.46","4.32","22,014,414.46","1,523,300.00","14.45","Saudi Arabia","Saudi Stock Exchange","SAR"
"1010","RIYAD BANK","Financials","Equity","18,429,553.03","3.61","18,429,553.03","2,488,056.00","7.41","Saudi Arabia","Saudi Stock Exchange","SAR"
"1060","SAUDI AWWAL BANK","Financials","Equity","15,549,259.96","3.05","15,549,259.96","1,704,148.00","9.12","Saudi Arabia","Saudi Stock Exchange","SAR"
"1150","ALINMA BANK","Financials","Equity","15,468,529.33","3.03","15,468,529.33","2,073,380.00","7.46","Saudi Arabia","Saudi Stock Exchange","SAR"
"2020","SABIC AGRI-NUTRIENTS","Materials","Equity","13,032,306.90","2.56","13,032,306.90","394,801.00","33.01","Saudi Arabia","Saudi Stock Exchange","SAR"
"2082","ACWA POWER CO","Utilities","Equity","11,477,551.57","2.25","11,477,551.57","259,466.00","44.24","Saudi Arabia","Saudi Stock Exchange","SAR"
"1050","BANQUE SAUDI FRANSI","Financials","Equity","10,984,977.76","2.15","10,984,977.76","2,073,380.00","5.30","Saudi Arabia","Saudi Stock Exchange","SAR"
"7020","ETIHAD ETISALAT","Communication","Equity","10,948,710.62","2.15","10,948,710.62","638,601.00","17.14","Saudi Arabia","Saudi Stock Exchange","SAR"
"4013","DR SULAIMAN AL HABIB MEDICAL GRP","Health Care","Equity","9,121,925.39","1.79","9,121,925.39","148,099.00","61.59","Saudi Arabia","Saudi Stock Exchange","SAR"
