Fund Holdings as of,"26/Feb/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"HDFCBANK","HDFC BANK LTD","Financials","Equity","409,862,274.70","7.35","409,862,274.70","41,467,152.00","9.88","India","National Stock Exchange Of India","INR"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","344,272,560.71","6.17","344,272,560.71","22,248,602.00","15.47","India","National Stock Exchange Of India","INR"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","289,573,303.76","5.19","289,573,303.76","18,738,973.00","15.45","India","National Stock Exchange Of India","INR"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","198,991,729.79","3.57","198,991,729.79","9,375,629.00","21.22","India","National Stock Exchange Of India","INR"
"INFY","INFOSYS LTD","Information Technology","Equity","172,191,603.68","3.09","172,191,603.68","12,143,896.00","14.18","India","National Stock Exchange Of India","INR"
"M&M","MAHINDRA AND MAHINDRA LTD","Consumer Discretionary","Equity","130,628,844.00","2.34","130,628,844.00","3,408,151.00","38.33","India","National Stock Exchange Of India","INR"
"AXISBANK","AXIS BANK LTD","Financials","Equity","128,595,340.96","2.31","128,595,340.96","8,377,763.00","15.35","India","National Stock Exchange Of India","INR"
"LT","LARSEN AND TOUBRO LTD","Industrials","Equity","116,137,216.75","2.08","116,137,216.75","2,463,209.00","47.15","India","National Stock Exchange Of India","INR"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","114,017,174.42","2.04","114,017,174.42","10,233,282.00","11.14","India","National Stock Exchange Of India","INR"
"TCS","TATA CONSULTANCY SERVICES LTD","Information Technology","Equity","96,372,984.44","1.73","96,372,984.44","3,309,171.00","29.12","India","National Stock Exchange Of India","INR"
"KOTAKBANK","KOTAK MAHINDRA BANK LTD","Financials","Equity","93,561,098.64","1.68","93,561,098.64","20,035,452.00","4.67","India","National Stock Exchange Of India","INR"
"SBIN","STATE BANK OF INDIA","Financials","Equity","88,957,313.21","1.59","88,957,313.21","6,686,648.00","13.30","India","National Stock Exchange Of India","INR"
"HINDUNILVR","HINDUSTAN UNILEVER LTD","Consumer Staples","Equity","78,532,920.62","1.41","78,532,920.62","2,995,751.00","26.21","India","National Stock Exchange Of India","INR"
"MARUTI","MARUTI SUZUKI INDIA LTD","Consumer Discretionary","Equity","77,139,613.99","1.38","77,139,613.99","460,994.00","167.33","India","National Stock Exchange Of India","INR"
"SUNPHARMA","SUN PHARMACEUTICAL INDUSTRIES LTD","Health Care","Equity","69,185,347.13","1.24","69,185,347.13","3,522,397.00","19.64","India","National Stock Exchange Of India","INR"
"NTPC","NTPC LTD","Utilities","Equity","66,865,853.20","1.20","66,865,853.20","15,917,960.00","4.20","India","National Stock Exchange Of India","INR"
"BEL","BHARAT ELECTRONICS LTD","Industrials","Equity","66,062,519.47","1.18","66,062,519.47","13,374,979.00","4.94","India","National Stock Exchange Of India","INR"
"TATASTEEL","TATA STEEL LTD","Materials","Equity","65,021,425.15","1.17","65,021,425.15","27,428,470.00","2.37","India","National Stock Exchange Of India","INR"
"SHFL","SHRIRAM FINANCE LTD","Financials","Equity","63,050,058.29","1.13","63,050,058.29","5,189,352.00","12.15","India","National Stock Exchange Of India","INR"
"TITAN","TITAN COMPANY LTD","Consumer Discretionary","Equity","62,276,586.04","1.12","62,276,586.04","1,303,790.00","47.77","India","National Stock Exchange Of India","INR"
"ULTRACEMCO","ULTRATECH CEMENT LTD","Materials","Equity","61,161,826.74","1.10","61,161,826.74","429,813.00","142.30","India","National Stock Exchange Of India","INR"
"POWERGRID","POWER GRID CORPORATION OF INDIA LT","Utilities","Equity","56,261,433.37","1.01","56,261,433.37","16,867,187.00","3.34","India","National Stock Exchange Of India","INR"
"HCLTECH","HCL TECHNOLOGIES LTD","Information Technology","Equity","52,418,750.11","0.94","52,418,750.11","3,469,690.00","15.11","India","National Stock Exchange Of India","INR"
"HINDALCO","HINDALCO INDUSTRIES LTD","Materials","Equity","51,160,714.80","0.92","51,160,714.80","4,941,300.00","10.35","India","National Stock Exchange Of India","INR"
"EICHERMOT","EICHER MOTORS LTD","Consumer Discretionary","Equity","45,179,928.92","0.81","45,179,928.92","501,527.00","90.08","India","National Stock Exchange Of India","INR"
"VEDL","VEDANTA LTD","Materials","Equity","40,619,393.69","0.73","40,619,393.69","5,007,645.00","8.11","India","National Stock Exchange Of India","INR"
"TMCV","TATA MOTORS LTD","Industrials","Equity","40,117,523.59","0.72","40,117,523.59","7,422,938.00","5.40","India","National Stock Exchange Of India","INR"
"ITC","ITC LTD","Consumer Staples","Equity","38,308,857.81","0.69","38,308,857.81","10,941,963.00","3.50","India","National Stock Exchange Of India","INR"
"INDIGO","INTERGLOBE AVIATION LTD","Industrials","Equity","37,964,839.48","0.68","37,964,839.48","699,615.00","54.27","India","National Stock Exchange Of India","INR"
"TVSMOTOR","TVS MOTOR COMPANY LTD","Consumer Discretionary","Equity","37,919,208.05","0.68","37,919,208.05","871,833.00","43.49","India","National Stock Exchange Of India","INR"
"SBILIFE","SBI LIFE INSURANCE COMPANY LTD","Financials","Equity","37,803,865.59","0.68","37,803,865.59","1,650,142.00","22.91","India","National Stock Exchange Of India","INR"
"ASIANPAINT","ASIAN PAINTS LTD","Materials","Equity","36,388,548.05","0.65","36,388,548.05","1,381,370.00","26.34","India","National Stock Exchange Of India","INR"
"NESTLEIND","NESTLE INDIA LTD","Consumer Staples","Equity","35,840,964.34","0.64","35,840,964.34","2,472,276.00","14.50","India","National Stock Exchange Of India","INR"
"ONGC","OIL AND NATURAL GAS LTD","Energy","Equity","35,274,026.98","0.63","35,274,026.98","11,449,186.00","3.08","India","National Stock Exchange Of India","INR"
"MAXHEALTH","MAX HEALTHCARE INSTITUTE LTD","Health Care","Equity","34,904,305.49","0.63","34,904,305.49","2,859,090.00","12.21","India","National Stock Exchange Of India","INR"
"ADANIPORTS","ADANI PORTS AND SPECIAL ECONOMIC Z","Industrials","Equity","33,713,471.22","0.60","33,713,471.22","1,976,680.00","17.06","India","National Stock Exchange Of India","INR"
"APOLLOHOSP","APOLLO HOSPITALS ENTERPRISE LTD","Health Care","Equity","32,993,276.09","0.59","32,993,276.09","385,796.00","85.52","India","National Stock Exchange Of India","INR"
"HAL","HINDUSTAN AERONAUTICS LTD","Industrials","Equity","32,430,568.08","0.58","32,430,568.08","735,465.00","44.10","India","National Stock Exchange Of India","INR"
"COALINDIA","COAL INDIA LTD","Energy","Equity","32,021,664.04","0.57","32,021,664.04","6,715,641.00","4.77","India","National Stock Exchange Of India","INR"
"BAJAJFINSV","BAJAJ FINSERV LTD","Financials","Equity","31,923,794.12","0.57","31,923,794.12","1,421,806.00","22.45","India","National Stock Exchange Of India","INR"
"TMPV","TATA MOTORS PASSENGER VEHICLES LTD","Consumer Discretionary","Equity","31,572,200.80","0.57","31,572,200.80","7,330,782.00","4.31","India","National Stock Exchange Of India","INR"
"JSWSTEEL","JSW STEEL LTD","Materials","Equity","31,510,179.82","0.56","31,510,179.82","2,237,021.00","14.09","India","National Stock Exchange Of India","INR"
"DIVISLAB","DIVIS LABORATORIES LTD","Health Care","Equity","31,375,483.36","0.56","31,375,483.36","440,606.00","71.21","India","National Stock Exchange Of India","INR"
"GRASIM","GRASIM INDUSTRIES LTD","Materials","Equity","31,369,981.03","0.56","31,369,981.03","995,978.00","31.50","India","National Stock Exchange Of India","INR"
"CIPLA","CIPLA LTD","Health Care","Equity","30,942,671.21","0.55","30,942,671.21","2,071,375.00","14.94","India","National Stock Exchange Of India","INR"
"CHOLAFIN","CHOLAMANDALAM INVESTMENT AND FINAN","Financials","Equity","29,838,763.19","0.53","29,838,763.19","1,551,841.00","19.23","India","National Stock Exchange Of India","INR"
"TECHM","TECH MAHINDRA LTD","Information Technology","Equity","29,635,339.22","0.53","29,635,339.22","1,978,469.00","14.98","India","National Stock Exchange Of India","INR"
"JIOFIN","JIO FINANCIAL SERVICES LTD","Financials","Equity","29,622,503.97","0.53","29,622,503.97","10,513,809.00","2.82","India","National Stock Exchange Of India","INR"
"DRREDDY","DR REDDYS LABORATORIES LTD","Health Care","Equity","28,813,432.25","0.52","28,813,432.25","1,985,565.00","14.51","India","National Stock Exchange Of India","INR"
"HDFCLIFE","HDFC LIFE INSURANCE COMPANY LTD","Financials","Equity","28,597,132.29","0.51","28,597,132.29","3,542,086.00","8.07","India","National Stock Exchange Of India","INR"
"TRENT","TRENT LTD","Consumer Discretionary","Equity","28,204,017.32","0.51","28,204,017.32","664,977.00","42.41","India","National Stock Exchange Of India","INR"
"HEROMOTOCO","HERO MOTOCORP LTD","Consumer Discretionary","Equity","28,146,908.71","0.50","28,146,908.71","442,191.00","63.65","India","National Stock Exchange Of India","INR"
"CUMMINSIND","CUMMINS INDIA LTD","Industrials","Equity","27,919,270.90","0.50","27,919,270.90","511,458.00","54.59","India","National Stock Exchange Of India","INR"
"TATACONSUM","TATA CONSUMER PRODUCTS LTD","Consumer Staples","Equity","27,705,186.44","0.50","27,705,186.44","2,172,316.00","12.75","India","National Stock Exchange Of India","INR"
"BAJAJ.AUTO","BAJAJ AUTO LTD","Consumer Discretionary","Equity","27,166,015.61","0.49","27,166,015.61","244,291.00","111.20","India","National Stock Exchange Of India","INR"
"BRITANNIA","BRITANNIA INDUSTRIES LTD","Consumer Staples","Equity","26,923,932.13","0.48","26,923,932.13","398,855.00","67.50","India","National Stock Exchange Of India","INR"
