Fund Holdings as of,"26/Feb/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","984,748,005.51","12.20","984,748,005.51","15,406,000.00","63.92","Taiwan","Taiwan Stock Exchange","TWD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","453,996,790.91","5.62","453,996,790.91","2,969,618.00","152.88","Korea (South)","Korea Exchange (Stock Market)","KRW"
"000660","SK HYNIX INC","Information Technology","Equity","263,373,101.44","3.26","263,373,101.44","341,726.00","770.71","Korea (South)","Korea Exchange (Stock Market)","KRW"
"700","TENCENT HOLDINGS LTD","Communication","Equity","262,704,894.35","3.25","262,704,894.35","4,014,100.00","65.45","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"9988","ALIBABA GROUP HOLDING LTD","Consumer Discretionary","Equity","196,643,690.00","2.44","196,643,690.00","10,758,060.00","18.28","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"HDFCBANK","HDFC BANK LTD","Financials","Equity","70,277,843.27","0.87","70,277,843.27","7,110,247.00","9.88","India","National Stock Exchange Of India","INR"
"939","CHINA CONSTRUCTION BANK CORP H","Financials","Equity","61,694,681.27","0.76","61,694,681.27","60,332,000.00","1.02","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"2317","HON HAI PRECISION INDUSTRY LTD","Information Technology","Equity","61,281,375.16","0.76","61,281,375.16","7,871,000.00","7.79","Taiwan","Taiwan Stock Exchange","TWD"
"RELIANCE","RELIANCE INDUSTRIES LTD","Energy","Equity","59,390,376.96","0.74","59,390,376.96","3,838,101.00","15.47","India","National Stock Exchange Of India","INR"
"2454","MEDIATEK INC","Information Technology","Equity","59,388,837.27","0.74","59,388,837.27","953,000.00","62.32","Taiwan","Taiwan Stock Exchange","TWD"
"2308","DELTA ELECTRONICS INC","Information Technology","Equity","56,538,399.92","0.70","56,538,399.92","1,234,000.00","45.82","Taiwan","Taiwan Stock Exchange","TWD"
"005935","SAMSUNG ELECTRONICS NON VOTING PRE","Information Technology","Equity","53,094,435.43","0.66","53,094,435.43","509,146.00","104.28","Korea (South)","Korea Exchange (Stock Market)","KRW"
"ICICIBANK","ICICI BANK LTD","Financials","Equity","50,020,209.53","0.62","50,020,209.53","3,236,926.00","15.45","India","National Stock Exchange Of India","INR"
"1810","XIAOMI CORP","Information Technology","Equity","48,463,167.21","0.60","48,463,167.21","10,777,200.00","4.50","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PDD","PDD HOLDINGS ADS INC","Consumer Discretionary","Equity","46,836,369.90","0.58","46,836,369.90","444,410.00","105.39","China","NASDAQ","USD"
"ANG","ANGLOGOLD ASHANTI PLC","Materials","Equity","38,424,562.48","0.48","38,424,562.48","316,193.00","121.52","South Africa","Johannesburg Stock Exchange","ZAR"
"2318","PING AN INSURANCE (GROUP) CO OF CH","Financials","Equity","36,391,113.72","0.45","36,391,113.72","4,196,000.00","8.67","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"005380","HYUNDAI MOTOR","Consumer Discretionary","Equity","35,251,915.57","0.44","35,251,915.57","82,541.00","427.08","Korea (South)","Korea Exchange (Stock Market)","KRW"
"BHARTIARTL","BHARTI AIRTEL LTD","Communication","Equity","34,279,761.78","0.42","34,279,761.78","1,615,114.00","21.22","India","National Stock Exchange Of India","INR"
"1398","INDUSTRIAL AND COMMERCIAL BANK OF","Financials","Equity","33,506,141.91","0.41","33,506,141.91","40,830,000.00","0.82","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"1120","AL RAJHI BANK","Financials","Equity","33,119,026.77","0.41","33,119,026.77","1,229,798.00","26.93","Saudi Arabia","Saudi Stock Exchange","SAR"
"3690","MEITUAN","Consumer Discretionary","Equity","32,224,527.05","0.40","32,224,527.05","3,133,650.00","10.28","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"NU","NU HOLDINGS LTD CLASS A","Financials","Equity","32,000,978.94","0.40","32,000,978.94","2,124,899.00","15.06","Brazil","New York Stock Exchange Inc.","USD"
"GFI","GOLD FIELDS LTD","Materials","Equity","31,325,885.05","0.39","31,325,885.05","560,703.00","55.87","South Africa","Johannesburg Stock Exchange","ZAR"
"ITUB4","ITAU UNIBANCO HOLDING PREF SA","Financials","Equity","31,259,458.22","0.39","31,259,458.22","3,371,687.00","9.27","Brazil","XBSP","BRL"
"INFY","INFOSYS LTD","Information Technology","Equity","29,742,866.18","0.37","29,742,866.18","2,097,630.00","14.18","India","National Stock Exchange Of India","INR"
"1211","BYD LTD H","Consumer Discretionary","Equity","28,157,427.17","0.35","28,157,427.17","2,320,000.00","12.14","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"402340","SK SQUARE LTD","Industrials","Equity","28,047,587.92","0.35","28,047,587.92","58,902.00","476.17","Korea (South)","Korea Exchange (Stock Market)","KRW"
"NPN","NASPERS LIMITED LTD CLASS N","Consumer Discretionary","Equity","27,358,685.55","0.34","27,358,685.55","491,919.00","55.62","South Africa","Johannesburg Stock Exchange","ZAR"
"3988","BANK OF CHINA LTD H","Financials","Equity","26,789,820.15","0.33","26,789,820.15","45,072,000.00","0.59","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"3711","ASE TECHNOLOGY HOLDING LTD","Information Technology","Equity","26,407,756.88","0.33","26,407,756.88","2,127,000.00","12.42","Taiwan","Taiwan Stock Exchange","TWD"
"105560","KB FINANCIAL GROUP INC","Financials","Equity","26,372,766.16","0.33","26,372,766.16","227,503.00","115.92","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2222","SAUDI ARABIAN OIL","Energy","Equity","25,283,007.85","0.31","25,283,007.85","3,798,934.00","6.66","Saudi Arabia","Saudi Stock Exchange","SAR"
"GMEXICOB","GRUPO MEXICO B","Materials","Equity","24,530,645.28","0.30","24,530,645.28","1,952,069.00","12.57","Mexico","Bolsa Mexicana De Valores","MXN"
"9999","NETEASE INC","Communication","Equity","24,433,183.57","0.30","24,433,183.57","1,092,275.00","22.37","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"M&M","MAHINDRA AND MAHINDRA LTD","Consumer Discretionary","Equity","22,410,593.04","0.28","22,410,593.04","584,700.00","38.33","India","National Stock Exchange Of India","INR"
"9888","BAIDU CLASS A INC","Communication","Equity","22,104,930.20","0.27","22,104,930.20","1,401,406.00","15.77","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"AXISBANK","AXIS BANK LTD","Financials","Equity","21,949,058.20","0.27","21,949,058.20","1,429,943.00","15.35","India","National Stock Exchange Of India","INR"
"PETR4","PETROLEO BRASILEIRO PREF SA","Energy","Equity","21,703,722.40","0.27","21,703,722.40","2,817,347.00","7.70","Brazil","XBSP","BRL"
"000270","KIA CORPORATION CORP","Consumer Discretionary","Equity","21,362,486.76","0.26","21,362,486.76","147,873.00","144.47","Korea (South)","Korea Exchange (Stock Market)","KRW"
"1180","THE SAUDI NATIONAL BANK","Financials","Equity","20,747,746.99","0.26","20,747,746.99","1,866,899.00","11.11","Saudi Arabia","Saudi Stock Exchange","SAR"
"034020","DOOSAN ENERBILITY LTD","Industrials","Equity","20,600,946.04","0.26","20,600,946.04","283,005.00","72.79","Korea (South)","Korea Exchange (Stock Market)","KRW"
"9618","JD.COM CLASS A INC","Consumer Discretionary","Equity","19,986,071.35","0.25","19,986,071.35","1,503,433.00","13.29","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"PETR3","PETROLEO BRASILEIRO SA PETROBRAS","Energy","Equity","19,927,823.02","0.25","19,927,823.02","2,396,816.00","8.31","Brazil","XBSP","BRL"
"9961","TRIP.COM GROUP LTD","Consumer Discretionary","Equity","19,908,477.80","0.25","19,908,477.80","388,986.00","51.18","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"FSR","FIRSTRAND LTD","Financials","Equity","19,707,368.82","0.24","19,707,368.82","3,157,991.00","6.24","South Africa","Johannesburg Stock Exchange","ZAR"
"BAJFINANCE","BAJAJ FINANCE LTD","Financials","Equity","19,677,732.33","0.24","19,677,732.33","1,766,118.00","11.14","India","National Stock Exchange Of India","INR"
"EMAAR","EMAAR PROPERTIES","Real Estate","Equity","19,187,398.67","0.24","19,187,398.67","4,170,137.00","4.60","United Arab Emirates","Dubai Financial Market","AED"
"055550","SHINHAN FINANCIAL GROUP LTD","Financials","Equity","18,922,886.43","0.23","18,922,886.43","270,101.00","70.06","Korea (South)","Korea Exchange (Stock Market)","KRW"
"2891","CTBC FINANCIAL HOLDING LTD","Financials","Equity","18,852,436.64","0.23","18,852,436.64","10,526,000.00","1.79","Taiwan","Taiwan Stock Exchange","TWD"
"2628","CHINA LIFE INSURANCE LTD H","Financials","Equity","18,804,013.65","0.23","18,804,013.65","4,688,000.00","4.01","China","Hong Kong Exchanges And Clearing Ltd","HKD"
"OTP","OTP BANK","Financials","Equity","18,524,563.62","0.23","18,524,563.62","149,090.00","124.25","Hungary","Budapest Stock Exchange","HUF"
"KFH","KUWAIT FINANCE HOUSE","Financials","Equity","18,404,511.28","0.23","18,404,511.28","7,023,015.00","2.62","Kuwait","Kuwait Stock Exchange","KWD"
