Fund Holdings as of,"26/Feb/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"ASML","ASML HOLDING NV","Information Technology","Equity","236,904,252.00","4.44","236,904,252.00","192,230.00","1,232.40","Netherlands","Euronext Amsterdam","EUR"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","138,559,756.84","2.60","138,559,756.84","347,889.00","398.29","Switzerland","SIX Swiss Exchange","CHF"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","136,492,900.16","2.56","136,492,900.16","8,524,992.00","16.01","United Kingdom","London Stock Exchange","GBP"
"AZN","ASTRAZENECA PLC","Health Care","Equity","132,888,751.74","2.49","132,888,751.74","767,918.00","173.05","United Kingdom","London Stock Exchange","GBP"
"NOVN","NOVARTIS","Health Care","Equity","132,108,268.90","2.48","132,108,268.90","941,474.00","140.32","Switzerland","SIX Swiss Exchange","CHF"
"SHEL","SHELL PLC","Energy","Equity","99,025,612.04","1.86","99,025,612.04","2,859,281.00","34.63","United Kingdom","London Stock Exchange","GBP"
"SIE","SIEMENS N AG","Industrials","Equity","93,576,195.05","1.75","93,576,195.05","376,337.00","248.65","Germany","Xetra","EUR"
"SAP","SAP","Information Technology","Equity","89,059,095.28","1.67","89,059,095.28","517,124.00","172.22","Germany","Xetra","EUR"
"SAN","BANCO SANTANDER SA","Financials","Equity","81,819,205.94","1.53","81,819,205.94","7,372,428.00","11.10","Spain","Bolsa De Madrid","EUR"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","74,173,947.10","1.39","74,173,947.10","271,799.00","272.90","France","Nyse Euronext - Euronext Paris","EUR"
"ALV","ALLIANZ","Financials","Equity","73,601,188.70","1.38","73,601,188.70","191,321.00","384.70","Germany","Xetra","EUR"
"MC","LVMH","Consumer Discretionary","Equity","68,359,236.40","1.28","68,359,236.40","123,929.00","551.60","France","Nyse Euronext - Euronext Paris","EUR"
"TTE","TOTALENERGIES","Energy","Equity","66,520,335.35","1.25","66,520,335.35","984,757.00","67.55","France","Nyse Euronext - Euronext Paris","EUR"
"IBE","IBERDROLA SA","Utilities","Equity","64,169,804.45","1.20","64,169,804.45","3,200,489.00","20.05","Spain","Bolsa De Madrid","EUR"
"ABBN","ABB LTD","Industrials","Equity","60,208,787.08","1.13","60,208,787.08","773,721.00","77.82","Switzerland","SIX Swiss Exchange","CHF"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","60,056,340.06","1.13","60,056,340.06","1,824,866.00","32.91","Germany","Xetra","EUR"
"BBVA","BANCO BILBAO VIZCAYA ARGENTARIA SA","Financials","Equity","57,195,333.90","1.07","57,195,333.90","2,845,539.00","20.10","Spain","Bolsa De Madrid","EUR"
"UBSG","UBS GROUP AG","Financials","Equity","55,465,204.73","1.04","55,465,204.73","1,567,152.00","35.39","Switzerland","SIX Swiss Exchange","CHF"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","51,263,764.00","0.96","51,263,764.00","285,592.00","179.50","France","Nyse Euronext - Euronext Paris","EUR"
"UCG","UNICREDIT","Financials","Equity","51,045,312.96","0.96","51,045,312.96","692,046.00","73.76","Italy","Borsa Italiana","EUR"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","50,933,452.03","0.95","50,933,452.03","1,594,980.00","31.93","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"GSK","GLAXOSMITHKLINE","Health Care","Equity","50,000,522.57","0.94","50,000,522.57","2,014,683.00","24.82","United Kingdom","London Stock Exchange","GBP"
"BNP","BNP PARIBAS SA","Financials","Equity","48,213,269.10","0.90","48,213,269.10","500,657.00","96.30","France","Nyse Euronext - Euronext Paris","EUR"
"OR","LOREAL SA","Consumer Staples","Equity","47,271,908.10","0.89","47,271,908.10","118,938.00","397.45","France","Nyse Euronext - Euronext Paris","EUR"
"RIO","RIO TINTO PLC","Materials","Equity","46,468,703.95","0.87","46,468,703.95","557,187.00","83.40","United Kingdom","London Stock Exchange","GBP"
"ZURN","ZURICH INSURANCE GROUP LTD","Financials","Equity","45,809,647.25","0.86","45,809,647.25","72,253.00","634.02","Switzerland","SIX Swiss Exchange","CHF"
"SAN","SANOFI SA","Health Care","Equity","44,372,062.08","0.83","44,372,062.08","548,616.00","80.88","France","Nyse Euronext - Euronext Paris","EUR"
"ISP","INTESA SANPAOLO","Financials","Equity","41,376,063.80","0.78","41,376,063.80","7,030,767.00","5.88","Italy","Borsa Italiana","EUR"
"ENEL","ENEL","Utilities","Equity","40,990,517.57","0.77","40,990,517.57","4,032,912.00","10.16","Italy","Borsa Italiana","EUR"
"NG.","NATIONAL GRID PLC","Utilities","Equity","38,872,278.66","0.73","38,872,278.66","2,448,882.00","15.87","United Kingdom","London Stock Exchange","GBP"
"RHM","RHEINMETALL AG","Industrials","Equity","38,252,574.00","0.72","38,252,574.00","22,851.00","1,674.00","Germany","Xetra","EUR"
"BARC","BARCLAYS PLC","Financials","Equity","37,557,372.29","0.70","37,557,372.29","6,938,197.00","5.41","United Kingdom","London Stock Exchange","GBP"
"INGA","ING GROEP NV","Financials","Equity","37,244,053.44","0.70","37,244,053.44","1,491,552.00","24.97","Netherlands","Euronext Amsterdam","EUR"
"EL","ESSILORLUXOTTICA SA","Health Care","Equity","35,828,235.30","0.67","35,828,235.30","149,721.00","239.30","France","Nyse Euronext - Euronext Paris","EUR"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Equity","35,389,637.40","0.66","35,389,637.40","64,509.00","548.60","Germany","Xetra","EUR"
"DG","VINCI SA","Industrials","Equity","35,053,402.80","0.66","35,053,402.80","246,248.00","142.35","France","Nyse Euronext - Euronext Paris","EUR"
"CS","AXA SA","Financials","Equity","34,989,970.68","0.66","34,989,970.68","856,338.00","40.86","France","Nyse Euronext - Euronext Paris","EUR"
"LLOY","LLOYDS BANKING GROUP PLC","Financials","Equity","34,899,442.17","0.65","34,899,442.17","29,049,194.00","1.20","United Kingdom","London Stock Exchange","GBP"
"ABI","ANHEUSER-BUSCH INBEV SA","Consumer Staples","Equity","32,898,263.20","0.62","32,898,263.20","487,960.00","67.42","Belgium","Nyse Euronext - Euronext Brussels","EUR"
"SPOT","SPOTIFY TECHNOLOGY SA","Communication","Equity","32,427,612.96","0.61","32,427,612.96","77,191.00","420.10","Sweden","New York Stock Exchange Inc.","USD"
