Fund Holdings as of,"26/Feb/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","128,900,405.02","4.84","128,900,405.02","5,326,700.00","24.20","Japan","Tokyo Stock Exchange","JPY"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Equity","120,784,654.58","4.54","120,784,654.58","6,443,500.00","18.75","Japan","Tokyo Stock Exchange","JPY"
"6501","HITACHI LTD","Industrials","Equity","84,963,114.59","3.19","84,963,114.59","2,575,300.00","32.99","Japan","Tokyo Stock Exchange","JPY"
"8316","SUMITOMO MITSUI FINANCIAL GROUP IN","Financials","Equity","77,780,915.15","2.92","77,780,915.15","2,060,600.00","37.75","Japan","Tokyo Stock Exchange","JPY"
"6857","ADVANTEST CORP","Information Technology","Equity","77,630,335.17","2.92","77,630,335.17","430,700.00","180.24","Japan","Tokyo Stock Exchange","JPY"
"6758","SONY GROUP CORP","Consumer Discretionary","Equity","75,272,537.81","2.83","75,272,537.81","3,456,600.00","21.78","Japan","Tokyo Stock Exchange","JPY"
"8035","TOKYO ELECTRON LTD","Information Technology","Equity","73,203,351.70","2.75","73,203,351.70","252,100.00","290.37","Japan","Tokyo Stock Exchange","JPY"
"8411","MIZUHO FINANCIAL GROUP INC","Financials","Equity","62,476,458.86","2.35","62,476,458.86","1,396,080.00","44.75","Japan","Tokyo Stock Exchange","JPY"
"8058","MITSUBISHI CORP","Industrials","Equity","59,921,710.46","2.25","59,921,710.46","1,811,700.00","33.07","Japan","Tokyo Stock Exchange","JPY"
"9984","SOFTBANK GROUP CORP","Communication","Equity","57,820,697.26","2.17","57,820,697.26","2,149,200.00","26.90","Japan","Tokyo Stock Exchange","JPY"
"8031","MITSUI LTD","Industrials","Equity","50,890,602.41","1.91","50,890,602.41","1,391,200.00","36.58","Japan","Tokyo Stock Exchange","JPY"
"8001","ITOCHU CORP","Industrials","Equity","47,481,650.22","1.78","47,481,650.22","3,332,900.00","14.25","Japan","Tokyo Stock Exchange","JPY"
"9983","FAST RETAILING LTD","Consumer Discretionary","Equity","46,885,804.92","1.76","46,885,804.92","107,700.00","435.34","Japan","Tokyo Stock Exchange","JPY"
"6861","KEYENCE CORP","Information Technology","Equity","46,195,469.11","1.73","46,195,469.11","109,900.00","420.34","Japan","Tokyo Stock Exchange","JPY"
"8766","TOKIO MARINE HOLDINGS INC","Financials","Equity","42,971,306.08","1.61","42,971,306.08","1,034,600.00","41.53","Japan","Tokyo Stock Exchange","JPY"
"6503","MITSUBISHI ELECTRIC CORP","Industrials","Equity","40,199,192.51","1.51","40,199,192.51","1,068,600.00","37.62","Japan","Tokyo Stock Exchange","JPY"
"4063","SHIN ETSU CHEMICAL LTD","Materials","Equity","36,257,236.61","1.36","36,257,236.61","946,400.00","38.31","Japan","Tokyo Stock Exchange","JPY"
"7741","HOYA CORP","Health Care","Equity","36,178,713.79","1.36","36,178,713.79","193,300.00","187.16","Japan","Tokyo Stock Exchange","JPY"
"7974","NINTENDO LTD","Communication","Equity","34,782,263.52","1.31","34,782,263.52","621,200.00","55.99","Japan","Tokyo Stock Exchange","JPY"
"6098","RECRUIT HOLDINGS LTD","Industrials","Equity","34,230,165.34","1.29","34,230,165.34","791,300.00","43.26","Japan","Tokyo Stock Exchange","JPY"
"4502","TAKEDA PHARMACEUTICAL LTD","Health Care","Equity","32,786,873.24","1.23","32,786,873.24","892,700.00","36.73","Japan","Tokyo Stock Exchange","JPY"
"8002","MARUBENI CORP","Industrials","Equity","30,367,828.76","1.14","30,367,828.76","794,400.00","38.23","Japan","Tokyo Stock Exchange","JPY"
"9433","KDDI CORP","Communication","Equity","28,293,018.14","1.06","28,293,018.14","1,650,100.00","17.15","Japan","Tokyo Stock Exchange","JPY"
"6146","DISCO CORP","Information Technology","Equity","26,349,910.28","0.99","26,349,910.28","52,000.00","506.73","Japan","Tokyo Stock Exchange","JPY"
"6301","KOMATSU LTD","Industrials","Equity","25,893,242.12","0.97","25,893,242.12","536,500.00","48.26","Japan","Tokyo Stock Exchange","JPY"
"8053","SUMITOMO CORP","Industrials","Equity","25,398,825.94","0.95","25,398,825.94","615,600.00","41.26","Japan","Tokyo Stock Exchange","JPY"
"4519","CHUGAI PHARMACEUTICAL LTD","Health Care","Equity","24,939,182.26","0.94","24,939,182.26","378,000.00","65.98","Japan","Tokyo Stock Exchange","JPY"
"5803","FUJIKURA LTD","Industrials","Equity","24,747,366.06","0.93","24,747,366.06","140,600.00","176.01","Japan","Tokyo Stock Exchange","JPY"
"6981","MURATA MANUFACTURING LTD","Information Technology","Equity","24,456,216.35","0.92","24,456,216.35","933,500.00","26.20","Japan","Tokyo Stock Exchange","JPY"
"6954","FANUC CORP","Industrials","Equity","23,406,629.07","0.88","23,406,629.07","520,800.00","44.94","Japan","Tokyo Stock Exchange","JPY"
"8591","ORIX CORP","Financials","Equity","23,089,879.52","0.87","23,089,879.52","655,200.00","35.24","Japan","Tokyo Stock Exchange","JPY"
"6702","FUJITSU LTD","Information Technology","Equity","22,481,785.44","0.84","22,481,785.44","989,300.00","22.72","Japan","Tokyo Stock Exchange","JPY"
"9434","SOFTBANK CORP","Communication","Equity","21,797,623.05","0.82","21,797,623.05","16,158,200.00","1.35","Japan","Tokyo Stock Exchange","JPY"
"6752","PANASONIC HOLDINGS CORP","Consumer Discretionary","Equity","21,293,217.12","0.80","21,293,217.12","1,316,400.00","16.18","Japan","Tokyo Stock Exchange","JPY"
"7267","HONDA MOTOR LTD","Consumer Discretionary","Equity","20,869,021.40","0.78","20,869,021.40","2,086,100.00","10.00","Japan","Tokyo Stock Exchange","JPY"
"8802","MITSUBISHI ESTATE CO LTD","Real Estate","Equity","20,135,387.08","0.76","20,135,387.08","595,400.00","33.82","Japan","Tokyo Stock Exchange","JPY"
"8750","DAI-ICHI LIFE HOLDINGS INC","Financials","Equity","19,935,187.13","0.75","19,935,187.13","1,966,300.00","10.14","Japan","Tokyo Stock Exchange","JPY"
"8801","MITSUI FUDOSAN LTD","Real Estate","Equity","19,897,873.62","0.75","19,897,873.62","1,477,100.00","13.47","Japan","Tokyo Stock Exchange","JPY"
"4568","DAIICHI SANKYO LTD","Health Care","Equity","19,853,790.05","0.75","19,853,790.05","1,015,400.00","19.55","Japan","Tokyo Stock Exchange","JPY"
