Fund Holdings as of,"26/Feb/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","1,511,727,015.51","8.03","1,511,727,015.51","8,176,359.00","184.89","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","1,362,960,266.85","7.24","1,362,960,266.85","4,993,443.00","272.95","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","954,496,763.00","5.07","954,496,763.00","2,376,025.00","401.72","United States","NASDAQ","USD"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","671,511,738.88","3.57","671,511,738.88","3,229,664.00","207.92","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","601,625,959.98","3.20","601,625,959.98","1,957,271.00","307.38","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","505,063,331.10","2.68","505,063,331.10","1,644,354.00","307.15","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","485,614,835.90","2.58","485,614,835.90","1,509,527.00","321.70","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","479,677,087.91","2.55","479,677,087.91","730,091.00","657.01","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","388,563,665.80","2.06","388,563,665.80","951,010.00","408.58","United States","NASDAQ","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","283,446,073.13","1.51","283,446,073.13","925,901.00","306.13","United States","New York Stock Exchange Inc.","USD"
"LLY","ELI LILLY","Health Care","Equity","277,027,719.18","1.47","277,027,719.18","271,059.00","1,022.02","United States","New York Stock Exchange Inc.","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","233,549,530.06","1.24","233,549,530.06","464,618.00","502.67","United States","New York Stock Exchange Inc.","USD"
"XOM","EXXON MOBIL CORP","Energy","Equity","212,609,461.12","1.13","212,609,461.12","1,431,328.00","148.54","United States","New York Stock Exchange Inc.","USD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","197,525,506.71","1.05","197,525,506.71","811,293.00","243.47","United States","New York Stock Exchange Inc.","USD"
"WMT","WALMART INC","Consumer Staples","Equity","183,203,597.62","0.97","183,203,597.62","1,472,461.00","124.42","United States","NASDAQ","USD"
"V","VISA INC CLASS A","Financials","Equity","181,458,965.60","0.96","181,458,965.60","572,968.00","316.70","United States","New York Stock Exchange Inc.","USD"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","157,793,949.84","0.84","157,793,949.84","379,714.00","415.56","United States","NASDAQ","USD"
"MA","MASTERCARD INC CLASS A","Financials","Equity","147,712,736.73","0.78","147,712,736.73","286,949.00","514.77","United States","New York Stock Exchange Inc.","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","146,602,922.02","0.78","146,602,922.02","148,573.00","986.74","United States","NASDAQ","USD"
"ABBV","ABBVIE INC","Health Care","Equity","133,138,711.36","0.71","133,138,711.36","592,544.00","224.69","United States","New York Stock Exchange Inc.","USD"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","125,160,031.20","0.67","125,160,031.20","333,680.00","375.09","United States","New York Stock Exchange Inc.","USD"
"BAC","BANK OF AMERICA CORP","Financials","Equity","123,558,279.30","0.66","123,558,279.30","2,362,491.00","52.30","United States","New York Stock Exchange Inc.","USD"
"GE","GE AEROSPACE","Industrials","Equity","122,106,270.84","0.65","122,106,270.84","358,251.00","340.84","United States","New York Stock Exchange Inc.","USD"
"NFLX","NETFLIX INC","Communication","Equity","120,759,076.79","0.64","120,759,076.79","1,427,581.00","84.59","United States","NASDAQ","USD"
"CAT","CATERPILLAR INC","Industrials","Equity","118,907,976.11","0.63","118,907,976.11","157,927.00","752.93","United States","New York Stock Exchange Inc.","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","111,219,056.64","0.59","111,219,056.64","546,048.00","203.68","United States","NASDAQ","USD"
"PLTR","PALANTIR TECHNOLOGIES INC CLASS A","Information Technology","Equity","104,091,433.04","0.55","104,091,433.04","765,716.00","135.94","United States","NASDAQ","USD"
"CSCO","CISCO SYSTEMS INC","Information Technology","Equity","103,864,018.50","0.55","103,864,018.50","1,329,885.00","78.10","United States","NASDAQ","USD"
"LRCX","LAM RESEARCH CORP","Information Technology","Equity","101,214,587.76","0.54","101,214,587.76","423,368.00","239.07","United States","NASDAQ","USD"
"AMAT","APPLIED MATERIAL INC","Information Technology","Equity","101,092,726.08","0.54","101,092,726.08","269,064.00","375.72","United States","NASDAQ","USD"
"MRK","MERCK & CO INC","Health Care","Equity","100,000,003.90","0.53","100,000,003.90","838,223.00","119.30","United States","New York Stock Exchange Inc.","USD"
"GS","GOLDMAN SACHS GROUP INC","Financials","Equity","94,901,995.00","0.50","94,901,995.00","102,155.00","929.00","United States","New York Stock Exchange Inc.","USD"
"WFC","WELLS FARGO","Financials","Equity","93,265,273.00","0.50","93,265,273.00","1,080,710.00","86.30","United States","New York Stock Exchange Inc.","USD"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","87,104,507.60","0.46","87,104,507.60","303,860.00","286.66","United States","New York Stock Exchange Inc.","USD"
"ORCL","ORACLE CORP","Information Technology","Equity","86,297,780.92","0.46","86,297,780.92","574,132.00","150.31","United States","New York Stock Exchange Inc.","USD"
"GEV","GE VERNOVA INC","Industrials","Equity","80,573,844.26","0.43","80,573,844.26","91,931.00","876.46","United States","New York Stock Exchange Inc.","USD"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","80,216,614.17","0.43","80,216,614.17","239,789.00","334.53","United States","New York Stock Exchange Inc.","USD"
"LIN","LINDE PLC","Materials","Equity","78,632,474.85","0.42","78,632,474.85","157,735.00","498.51","United States","NASDAQ","USD"
"IBM","INTERNATIONAL BUSINESS MACHINES CO","Information Technology","Equity","76,013,646.93","0.40","76,013,646.93","314,093.00","242.01","United States","New York Stock Exchange Inc.","USD"
"C","CITIGROUP INC","Financials","Equity","71,742,212.64","0.38","71,742,212.64","617,456.00","116.19","United States","New York Stock Exchange Inc.","USD"
"MS","MORGAN STANLEY","Financials","Equity","71,361,984.38","0.38","71,361,984.38","402,062.00","177.49","United States","New York Stock Exchange Inc.","USD"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","69,625,275.69","0.37","69,625,275.69","1,424,121.00","48.89","United States","New York Stock Exchange Inc.","USD"
"AMGN","AMGEN INC","Health Care","Equity","69,339,248.02","0.37","69,339,248.02","182,794.00","379.33","United States","NASDAQ","USD"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","68,984,368.04","0.37","68,984,368.04","1,517,474.00","45.46","United States","NASDAQ","USD"
"KLAC","KLA CORP","Information Technology","Equity","68,151,900.10","0.36","68,151,900.10","44,710.00","1,524.31","United States","NASDAQ","USD"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","67,894,561.14","0.36","67,894,561.14","583,989.00","116.26","United States","New York Stock Exchange Inc.","USD"
"T","AT&T INC","Communication","Equity","66,211,222.48","0.35","66,211,222.48","2,411,188.00","27.46","United States","New York Stock Exchange Inc.","USD"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","65,887,241.24","0.35","65,887,241.24","126,677.00","520.12","United States","New York Stock Exchange Inc.","USD"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","64,467,927.59","0.34","64,467,927.59","303,193.00","212.63","United States","NASDAQ","USD"
"CRM","SALESFORCE INC","Information Technology","Equity","64,028,274.24","0.34","64,028,274.24","320,992.00","199.47","United States","New York Stock Exchange Inc.","USD"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","63,796,628.83","0.34","63,796,628.83","693,517.00","91.99","United States","New York Stock Exchange Inc.","USD"
"DIS","WALT DISNEY","Communication","Equity","63,626,067.75","0.34","63,626,067.75","602,805.00","105.55","United States","New York Stock Exchange Inc.","USD"
"AXP","AMERICAN EXPRESS","Financials","Equity","62,406,069.88","0.33","62,406,069.88","186,109.00","335.32","United States","New York Stock Exchange Inc.","USD"
"ISRG","INTUITIVE SURGICAL INC","Health Care","Equity","61,247,324.16","0.33","61,247,324.16","120,832.00","506.88","United States","NASDAQ","USD"
"APH","AMPHENOL CORP CLASS A","Information Technology","Equity","60,870,027.54","0.32","60,870,027.54","409,982.00","148.47","United States","New York Stock Exchange Inc.","USD"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","59,946,482.97","0.32","59,946,482.97","416,961.00","143.77","United States","NASDAQ","USD"
"TJX","TJX INC","Consumer Discretionary","Equity","59,593,649.15","0.32","59,593,649.15","375,535.00","158.69","United States","New York Stock Exchange Inc.","USD"
"ADI","ANALOG DEVICES INC","Information Technology","Equity","58,101,706.45","0.31","58,101,706.45","163,967.00","354.35","United States","NASDAQ","USD"
"SCHW","CHARLES SCHWAB CORP","Financials","Equity","56,212,966.00","0.30","56,212,966.00","576,425.00","97.52","United States","New York Stock Exchange Inc.","USD"
"BLK","BLACKROCK INC","Financials","Equity","53,417,778.65","0.28","53,417,778.65","48,995.00","1,090.27","United States","New York Stock Exchange Inc.","USD"
"DE","DEERE","Industrials","Equity","53,403,027.14","0.28","53,403,027.14","86,209.00","619.46","United States","New York Stock Exchange Inc.","USD"
"UNP","UNION PACIFIC CORP","Industrials","Equity","53,232,281.20","0.28","53,232,281.20","200,536.00","265.45","United States","New York Stock Exchange Inc.","USD"
"QCOM","QUALCOMM INC","Information Technology","Equity","52,880,035.08","0.28","52,880,035.08","363,212.00","145.59","United States","NASDAQ","USD"
"PFE","PFIZER INC","Health Care","Equity","51,523,956.30","0.27","51,523,956.30","1,901,253.00","27.10","United States","New York Stock Exchange Inc.","USD"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","50,247,848.28","0.27","50,247,848.28","190,052.00","264.39","United States","New York Stock Exchange Inc.","USD"
"UBER","UBER TECHNOLOGIES INC","Industrials","Equity","49,871,852.80","0.27","49,871,852.80","666,736.00","74.80","United States","New York Stock Exchange Inc.","USD"
"ETN","EATON PLC","Industrials","Equity","49,426,401.32","0.26","49,426,401.32","131,948.00","374.59","United States","New York Stock Exchange Inc.","USD"
"NEM","NEWMONT","Materials","Equity","46,784,676.75","0.25","46,784,676.75","367,025.00","127.47","United States","New York Stock Exchange Inc.","USD"
"WELL","WELLTOWER INC","Real Estate","Equity","46,780,557.45","0.25","46,780,557.45","224,421.00","208.45","United States","New York Stock Exchange Inc.","USD"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","46,773,947.25","0.25","46,773,947.25","359,109.00","130.25","United States","New York Stock Exchange Inc.","USD"
"BKNG","BOOKING HOLDINGS INC","Consumer Discretionary","Equity","46,115,321.00","0.25","46,115,321.00","10,850.00","4,250.26","United States","NASDAQ","USD"
"SPGI","S&P GLOBAL INC","Financials","Equity","45,845,889.57","0.24","45,845,889.57","104,793.00","437.49","United States","New York Stock Exchange Inc.","USD"
"DHR","DANAHER CORP","Health Care","Equity","45,368,312.00","0.24","45,368,312.00","216,700.00","209.36","United States","New York Stock Exchange Inc.","USD"
"PLD","PROLOGIS REIT INC","Real Estate","Equity","44,746,307.62","0.24","44,746,307.62","313,657.00","142.66","United States","New York Stock Exchange Inc.","USD"
"SYK","STRYKER CORP","Health Care","Equity","44,564,836.10","0.24","44,564,836.10","115,435.00","386.06","United States","New York Stock Exchange Inc.","USD"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","44,470,820.40","0.24","44,470,820.40","213,320.00","208.47","United States","New York Stock Exchange Inc.","USD"
"ACN","ACCENTURE PLC CLASS A","Information Technology","Equity","43,560,791.14","0.23","43,560,791.14","210,053.00","207.38","United States","New York Stock Exchange Inc.","USD"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","43,465,075.28","0.23","43,465,075.28","42,824.00","1,014.97","United States","New York Stock Exchange Inc.","USD"
"CB","CHUBB LTD","Financials","Equity","43,010,457.60","0.23","43,010,457.60","127,280.00","337.92","United States","New York Stock Exchange Inc.","USD"
"MDT","MEDTRONIC PLC","Health Care","Equity","42,002,637.49","0.22","42,002,637.49","432,883.00","97.03","United States","New York Stock Exchange Inc.","USD"
"BMY","BRISTOL MYERS SQUIBB","Health Care","Equity","41,916,310.80","0.22","41,916,310.80","686,028.00","61.10","United States","New York Stock Exchange Inc.","USD"
"PGR","PROGRESSIVE CORP","Financials","Equity","41,827,684.96","0.22","41,827,684.96","197,552.00","211.73","United States","New York Stock Exchange Inc.","USD"
