Fund Holdings as of,"26/Feb/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","398,624,873.79","5.72","398,624,873.79","2,156,011.00","184.89","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","359,395,994.50","5.16","359,395,994.50","1,316,710.00","272.95","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","251,690,033.32","3.61","251,690,033.32","626,531.00","401.72","United States","NASDAQ","USD"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","177,067,998.72","2.54","177,067,998.72","851,616.00","207.92","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","158,642,199.18","2.28","158,642,199.18","516,111.00","307.38","United States","NASDAQ","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","133,381,423.25","1.91","133,381,423.25","434,255.00","307.15","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","128,049,789.70","1.84","128,049,789.70","398,041.00","321.70","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","126,393,612.77","1.81","126,393,612.77","192,377.00","657.01","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","102,201,384.04","1.47","102,201,384.04","250,138.00","408.58","United States","NASDAQ","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","74,587,043.85","1.07","74,587,043.85","243,645.00","306.13","United States","New York Stock Exchange Inc.","USD"
"LLY","ELI LILLY","Health Care","Equity","73,010,042.74","1.05","73,010,042.74","71,437.00","1,022.02","United States","New York Stock Exchange Inc.","USD"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","61,534,348.05","0.88","61,534,348.05","122,415.00","502.67","United States","New York Stock Exchange Inc.","USD"
"XOM","EXXON MOBIL CORP","Energy","Equity","55,850,742.92","0.80","55,850,742.92","375,998.00","148.54","United States","New York Stock Exchange Inc.","USD"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","51,664,334.00","0.74","51,664,334.00","212,200.00","243.47","United States","New York Stock Exchange Inc.","USD"
"ASML","ASML HOLDING NV","Information Technology","Equity","50,115,188.73","0.72","50,115,188.73","34,466.00","1,454.04","Netherlands","Euronext Amsterdam","EUR"
"WMT","WALMART INC","Consumer Staples","Equity","48,410,328.96","0.69","48,410,328.96","389,088.00","124.42","United States","NASDAQ","USD"
"V","VISA INC CLASS A","Financials","Equity","47,855,270.20","0.69","47,855,270.20","151,106.00","316.70","United States","New York Stock Exchange Inc.","USD"
"MU","MICRON TECHNOLOGY INC","Information Technology","Equity","41,194,462.80","0.59","41,194,462.80","99,130.00","415.56","United States","NASDAQ","USD"
"MA","MASTERCARD INC CLASS A","Financials","Equity","38,904,257.52","0.56","38,904,257.52","75,576.00","514.77","United States","New York Stock Exchange Inc.","USD"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","38,644,685.36","0.55","38,644,685.36","39,164.00","986.74","United States","NASDAQ","USD"
"ABBV","ABBVIE INC","Health Care","Equity","35,207,125.48","0.51","35,207,125.48","156,692.00","224.69","United States","New York Stock Exchange Inc.","USD"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","33,337,624.11","0.48","33,337,624.11","88,879.00","375.09","United States","New York Stock Exchange Inc.","USD"
"BAC","BANK OF AMERICA CORP","Financials","Equity","32,872,537.40","0.47","32,872,537.40","628,538.00","52.30","United States","New York Stock Exchange Inc.","USD"
"GE","GE AEROSPACE","Industrials","Equity","32,077,474.92","0.46","32,077,474.92","94,113.00","340.84","United States","New York Stock Exchange Inc.","USD"
"NFLX","NETFLIX INC","Communication","Equity","31,828,002.58","0.46","31,828,002.58","376,262.00","84.59","United States","NASDAQ","USD"
"CAT","CATERPILLAR INC","Industrials","Equity","31,242,077.42","0.45","31,242,077.42","41,494.00","752.93","United States","New York Stock Exchange Inc.","USD"
"AMD","ADVANCED MICRO DEVICES INC","Information Technology","Equity","29,399,374.88","0.42","29,399,374.88","144,341.00","203.68","United States","NASDAQ","USD"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","29,249,182.29","0.42","29,249,182.29","62,243.00","469.92","Switzerland","SIX Swiss Exchange","CHF"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","28,481,905.89","0.41","28,481,905.89","1,507,739.00","18.89","United Kingdom","London Stock Exchange","GBP"
"AZN","ASTRAZENECA PLC","Health Care","Equity","28,126,788.85","0.40","28,126,788.85","137,759.00","204.17","United Kingdom","London Stock Exchange","GBP"
"NOVN","NOVARTIS","Health Care","Equity","28,084,155.61","0.40","28,084,155.61","169,634.00","165.56","Switzerland","SIX Swiss Exchange","CHF"
