Fund Holdings as of,"04/Mar/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
NVDA,NVIDIA CORP,Information Technology,Equity,533449400.0,11.069024,533449400.0,2914387.0,183.04,United States,-,USD
AAPL,APPLE INC,Information Technology,Equity,478391520.0,9.926578,478391520.0,1822305.0,262.52,United States,-,USD
MSFT,MICROSOFT CORP,Information Technology,Equity,337599680.0,7.005161,337599680.0,833168.0,405.2,United States,-,USD
META,META PLATFORMS INC CLASS A,Communication,Equity,239332460.0,4.966126,239332460.0,358427.0,667.73,United States,-,USD
GOOGL,ALPHABET INC CLASS A,Communication,Equity,198498020.0,4.118815,198498020.0,654828.0,303.13,United States,-,USD
GOOG,ALPHABET INC CLASS C,Communication,Equity,158129920.0,3.281181,158129920.0,521107.0,303.45,United States,-,USD
XOM,EXXON MOBIL CORP,Energy,Equity,98704560.0,2.04811,98704560.0,658821.0,149.82,United States,-,USD
V,VISA INC CLASS A,Financials,Equity,81890984.0,1.69923,81890984.0,255534.0,320.47,United States,-,USD
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,81056536.0,1.681915,81056536.0,202252.0,400.77,United States,-,USD
WMT,WALMART INC,Consumer Staples,Equity,73686550.0,1.528989,73686550.0,576532.0,127.81,United States,-,USD
ABBV,ABBVIE INC,Health Care,Equity,71138536.0,1.476118,71138536.0,301192.0,236.19,United States,-,USD
MA,MASTERCARD INC CLASS A,Financials,Equity,63872588.0,1.32535,63872588.0,122146.0,522.92,United States,-,USD
GE,GE AEROSPACE,Industrials,Equity,55617044.0,1.154048,55617044.0,163671.0,339.81,United States,-,USD
CAT,CATERPILLAR INC,Industrials,Equity,54910924.0,1.139396,54910924.0,75018.0,731.97,United States,-,USD
HD,HOME DEPOT INC,Consumer Discretionary,Equity,53716580.0,1.114614,53716580.0,145530.0,369.11,United States,-,USD
BAC,BANK OF AMERICA CORP,Financials,Equity,52857350.0,1.096785,52857350.0,1050842.0,50.3,United States,-,USD
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,50018904.0,1.037887,50018904.0,618510.0,80.87,United States,-,USD
MRK,MERCK & CO INC,Health Care,Equity,47674060.0,0.989232,47674060.0,396359.0,120.28,United States,-,USD
LRCX,LAM RESEARCH CORP,Information Technology,Equity,45247570.0,0.938883,45247570.0,202913.0,222.99,United States,-,USD
WFC,WELLS FARGO,Financials,Equity,40895650.0,0.848581,40895650.0,487259.0,83.93,United States,-,USD
INTC,INTEL CORPORATION CORP,Information Technology,Equity,34040420.0,0.706335,34040420.0,746828.0,45.58,United States,-,USD
LIN,LINDE PLC,Materials,Equity,33838590.0,0.702148,33838590.0,67787.0,499.19,United States,-,USD
PEP,PEPSICO INC,Consumer Staples,Equity,32785640.0,0.680299,32785640.0,200010.0,163.92,United States,-,USD
AMGN,AMGEN INC,Health Care,Equity,32162096.0,0.66736,32162096.0,84800.0,379.27,United States,-,USD
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,Equity,31458146.0,0.652754,31458146.0,61359.0,512.69,United States,-,USD
MS,MORGAN STANLEY,Financials,Equity,30740876.0,0.63787,30740876.0,183440.0,167.58,United States,-,USD
T,AT&T INC,Communication,Equity,30581580.0,0.634565,30581580.0,1055265.0,28.98,United States,-,USD
DIS,WALT DISNEY,Communication,Equity,29933842.0,0.621124,29933842.0,290507.0,103.04,United States,-,USD
KLAC,KLA CORP,Information Technology,Equity,29364706.0,0.609315,29364706.0,19896.0,1475.91,United States,-,USD
CRM,SALESFORCE INC,Information Technology,Equity,28850014.0,0.598635,28850014.0,149420.0,193.08,United States,-,USD
ABT,ABBOTT LABORATORIES,Health Care,Equity,27779848.0,0.576429,27779848.0,245622.0,113.1,United States,-,USD
GILD,GILEAD SCIENCES INC,Health Care,Equity,27354742.0,0.567608,27354742.0,184555.0,148.22,United States,-,USD
AXP,AMERICAN EXPRESS,Financials,Equity,25672646.0,0.532705,25672646.0,82493.0,311.21,United States,-,USD
UNP,UNION PACIFIC CORP,Industrials,Equity,23953394.0,0.497031,23953394.0,89814.0,266.7,United States,-,USD
QCOM,QUALCOMM INC,Information Technology,Equity,23360252.0,0.484723,23360252.0,167445.0,139.51,United States,-,USD
BLK,BLACKROCK INC,Financials,Equity,23182736.0,0.48104,23182736.0,22095.0,1049.23,United States,-,USD
LOW,LOWES COMPANIES INC,Consumer Discretionary,Equity,22026924.0,0.457057,22026924.0,85171.0,258.62,United States,-,USD
UBER,UBER TECHNOLOGIES INC,Industrials,Equity,21974636.0,0.455972,21974636.0,286688.0,76.65,United States,-,USD
SPGI,S&P GLOBAL INC,Financials,Equity,21678030.0,0.449817,21678030.0,48660.0,445.5,United States,-,USD
WELL,WELLTOWER INC,Real Estate,Equity,20917292.0,0.434032,20917292.0,101123.0,206.85,United States,-,USD
ACN,ACCENTURE PLC CLASS A,Information Technology,Equity,20148660.0,0.418083,20148660.0,95946.0,210.0,United States,-,USD
DHR,DANAHER CORP,Health Care,Equity,19895048.0,0.41282,19895048.0,97177.0,204.73,United States,-,USD
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,19740864.0,0.409621,19740864.0,4641.0,4253.58,United States,-,USD
MDT,MEDTRONIC PLC,Health Care,Equity,18647640.0,0.386937,18647640.0,195059.0,95.6,United States,-,USD
