Fund Holdings as of,"26/Feb/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"NVDA","NVIDIA CORP","Information Technology","Equity","1,315,463,322.27","4.59","1,315,463,322.27","7,114,843.00","184.89","United States","NASDAQ","USD"
"AAPL","APPLE INC","Information Technology","Equity","1,185,216,318.65","4.14","1,185,216,318.65","4,342,247.00","272.95","United States","NASDAQ","USD"
"MSFT","MICROSOFT CORP","Information Technology","Equity","830,060,377.52","2.90","830,060,377.52","2,066,266.00","401.72","United States","NASDAQ","USD"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","583,046,145.20","2.04","583,046,145.20","2,804,185.00","207.92","United States","NASDAQ","USD"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","524,185,564.92","1.83","524,185,564.92","1,705,334.00","307.38","United States","NASDAQ","USD"
"2330","TAIWAN SEMICONDUCTOR MANUFACTURING","Information Technology","Equity","462,587,389.06","1.62","462,587,389.06","7,237,000.00","63.92","Taiwan","Taiwan Stock Exchange","TWD"
"NDIA","ISHARES MSCI INDIA UCITS ETF","Financials","Equity","441,991,599.28","1.54","441,991,599.28","46,427,689.00","9.52","Ireland","London Stock Exchange","USD"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","440,061,483.75","1.54","440,061,483.75","1,432,725.00","307.15","United States","NASDAQ","USD"
"AVGO","BROADCOM INC","Information Technology","Equity","422,457,405.10","1.48","422,457,405.10","1,313,203.00","321.70","United States","NASDAQ","USD"
"META","META PLATFORMS INC CLASS A","Communication","Equity","417,908,292.76","1.46","417,908,292.76","636,076.00","657.01","United States","NASDAQ","USD"
"TSLA","TESLA INC","Consumer Discretionary","Equity","338,138,765.10","1.18","338,138,765.10","827,595.00","408.58","United States","NASDAQ","USD"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","246,829,557.70","0.86","246,829,557.70","806,290.00","306.13","United States","New York Stock Exchange Inc.","USD"
"LLY","ELI LILLY","Health Care","Equity","240,725,568.78","0.84","240,725,568.78","235,539.00","1,022.02","United States","New York Stock Exchange Inc.","USD"
"005930","SAMSUNG ELECTRONICS LTD","Information Technology","Equity","208,875,783.86","0.73","208,875,783.86","1,366,268.00","152.88","Korea (South)","Korea Exchange (Stock Market)","KRW"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","203,207,866.19","0.71","203,207,866.19","404,257.00","502.67","United States","New York Stock Exchange Inc.","USD"
