Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
JP3633400001,TOYOTA MOTOR CORP,Consumer Discretionary,Equity,,4.607566,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3902900004,MITSUBISHI UFJ FINANCIAL GRO,Financials,Equity,,3.919285,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3788600009,HITACHI LTD,Industrials,Equity,,2.862856,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3435000009,SONY GROUP CORP,Consumer Discretionary,Equity,,2.723855,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3890350006,SUMITOMO MITSUI FINANCIAL GR,Financials,Equity,,2.587097,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3122400009,ADVANTEST CORP,Information Technology,Equity,,2.436609,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3571400005,TOKYO ELECTRON LTD,Information Technology,Equity,,2.404134,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3898400001,MITSUBISHI CORP,Industrials,Equity,,2.115370,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3885780001,MIZUHO FINANCIAL GROUP INC,Financials,Equity,,2.090185,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3900000005,MITSUBISHI HEAVY INDUSTRIES,Industrials,Equity,,2.054507,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3436100006,SOFTBANK GROUP CORP,Communication Services,Equity,,1.851743,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3893600001,MITSUI & CO LTD,Industrials,Equity,,1.840824,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3143600009,ITOCHU CORP,Industrials,Equity,,1.635770,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3802300008,FAST RETAILING CO LTD,Consumer Discretionary,Equity,,1.595983,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3236200006,KEYENCE CORP,Information Technology,Equity,,1.538367,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3910660004,TOKIO MARINE HOLDINGS INC,Financials,Equity,,1.441852,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3902400005,MITSUBISHI ELECTRIC CORP,Industrials,Equity,,1.406177,,,,Japan,Tokyo Stock Exchange,JPY,,,
JP3371200001,SHIN ETSU CHEMICAL CO LTD,Materials,Equity,,1.315727,,,,Japan,Tokyo Stock Exchange,JPY,,,
