Fund Holdings as of,"31/Dec/2024"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"ASML","ASML HOLDING NV","Information Technology","Equity","99,787,903.60","3.06","99,787,903.60","147,028.00","678.70","Netherlands","Euronext Amsterdam","EUR"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","99,221,447.46","3.04","99,221,447.46","1,185,389.00","83.70","Denmark","Omx Nordic Exchange Copenhagen A/S","DKK"
"SAP","SAP","Information Technology","Equity","90,808,435.90","2.78","90,808,435.90","384,293.00","236.30","Germany","Xetra","EUR"
"AZN","ASTRAZENECA PLC","Health Care","Equity","72,365,474.54","2.22","72,365,474.54","571,577.00","126.61","United Kingdom","London Stock Exchange","GBP"
"ROG","ROCHE HOLDING PAR AG","Health Care","Equity","70,362,689.49","2.16","70,362,689.49","258,434.00","272.27","Switzerland","SIX Swiss Exchange","CHF"
"NOVN","NOVARTIS AG","Health Care","Equity","68,656,396.36","2.10","68,656,396.36","726,366.00","94.52","Switzerland","SIX Swiss Exchange","CHF"
"SHEL","SHELL PLC","Energy","Equity","68,386,126.38","2.09","68,386,126.38","2,283,623.00","29.95","United Kingdom","London Stock Exchange","GBP"
"MC","LVMH","Consumer Discretionary","Equity","64,270,021.50","1.97","64,270,021.50","101,133.00","635.50","France","Nyse Euronext - Euronext Paris","EUR"
"HSBA","HSBC HOLDINGS PLC","Financials","Equity","63,646,537.44","1.95","63,646,537.44","6,701,102.00","9.50","United Kingdom","London Stock Exchange","GBP"
"SIE","SIEMENS N AG","Industrials","Equity","52,746,454.48","1.62","52,746,454.48","279,733.00","188.56","Germany","Xetra","EUR"
"SU","SCHNEIDER ELECTRIC","Industrials","Equity","48,563,271.90","1.49","48,563,271.90","201,591.00","240.90","France","Nyse Euronext - Euronext Paris","EUR"
"ALV","ALLIANZ","Financials","Equity","42,587,111.60","1.30","42,587,111.60","143,924.00","295.90","Germany","Xetra","EUR"
"TTE","TOTALENERGIES","Energy","Equity","42,465,281.49","1.30","42,465,281.49","795,677.00","53.37","France","Nyse Euronext - Euronext Paris","EUR"
"SAN","SANOFI SA","Health Care","Equity","39,393,953.78","1.21","39,393,953.78","420,247.00","93.74","France","Nyse Euronext - Euronext Paris","EUR"
"DTE","DEUTSCHE TELEKOM N AG","Communication","Equity","37,184,087.88","1.14","37,184,087.88","1,287,092.00","28.89","Germany","Xetra","EUR"
"UBSG","UBS GROUP AG","Financials","Equity","35,732,776.70","1.09","35,732,776.70","1,209,247.00","29.55","Switzerland","SIX Swiss Exchange","CHF"
"AI","LAIR LIQUIDE SOCIETE ANONYME POUR","Materials","Equity","33,449,224.12","1.02","33,449,224.12","213,161.00","156.92","France","Nyse Euronext - Euronext Paris","EUR"
"ZURN","ZURICH INSURANCE GROUP AG","Financials","Equity","30,826,978.32","0.94","30,826,978.32","53,691.00","574.16","Switzerland","SIX Swiss Exchange","CHF"
"ABBN","ABB LTD","Industrials","Equity","30,494,641.74","0.93","30,494,641.74","583,184.00","52.29","Switzerland","SIX Swiss Exchange","CHF"
"OR","LOREAL SA","Consumer Staples","Equity","30,198,003.45","0.92","30,198,003.45","88,337.00","341.85","France","Nyse Euronext - Euronext Paris","EUR"
"REL","RELX PLC","Industrials","Equity","30,093,821.25","0.92","30,093,821.25","685,642.00","43.89","United Kingdom","London Stock Exchange","GBP"
"IBE","IBERDROLA SA","Utilities","Equity","30,003,696.10","0.92","30,003,696.10","2,255,917.00","13.30","Spain","Bolsa De Madrid","EUR"
"RMS","HERMES INTERNATIONAL","Consumer Discretionary","Equity","27,102,384.00","0.83","27,102,384.00","11,672.00","2,322.00","France","Nyse Euronext - Euronext Paris","EUR"
"EL","ESSILORLUXOTTICA SA","Health Care","Equity","25,826,707.60","0.79","25,826,707.60","109,621.00","235.60","France","Nyse Euronext - Euronext Paris","EUR"
"SAN","BANCO SANTANDER SA","Financials","Equity","25,510,161.93","0.78","25,510,161.93","5,714,002.00","4.46","Spain","Bolsa De Madrid","EUR"
"DGE","DIAGEO PLC","Consumer Staples","Equity","25,161,779.57","0.77","25,161,779.57","819,865.00","30.69","United Kingdom","London Stock Exchange","GBP"
"GSK","GLAXOSMITHKLINE","Health Care","Equity","24,791,461.41","0.76","24,791,461.41","1,522,309.00","16.29","United Kingdom","London Stock Exchange","GBP"
"LSEG","LONDON STOCK EXCHANGE GROUP PLC","Financials","Equity","24,066,658.79","0.74","24,066,658.79","176,328.00","136.49","United Kingdom","London Stock Exchange","GBP"
"MUV2","MUENCHENER RUECKVERSICHERUNGS-GESE","Financials","Equity","24,019,875.20","0.74","24,019,875.20","49,312.00","487.10","Germany","Xetra","EUR"
"RIO","RIO TINTO PLC","Materials","Equity","23,647,602.37","0.72","23,647,602.37","413,977.00","57.12","United Kingdom","London Stock Exchange","GBP"
"CS","AXA SA","Financials","Equity","22,251,749.52","0.68","22,251,749.52","648,361.00","34.32","France","Nyse Euronext - Euronext Paris","EUR"
"BNP","BNP PARIBAS SA","Financials","Equity","22,189,674.78","0.68","22,189,674.78","374,699.00","59.22","France","Nyse Euronext - Euronext Paris","EUR"
"RR.","ROLLS-ROYCE HOLDINGS PLC","Industrials","Equity","21,570,753.62","0.66","21,570,753.62","3,136,646.00","6.88","United Kingdom","London Stock Exchange","GBP"
"UCG","UNICREDIT","Financials","Equity","20,932,597.27","0.64","20,932,597.27","543,351.00","38.52","Italy","Borsa Italiana","EUR"
"ISP","INTESA SANPAOLO","Financials","Equity","20,838,385.64","0.64","20,838,385.64","5,394,353.00","3.86","Italy","Borsa Italiana","EUR"
