period_start,isin,api_name,amount,individuals,count
2020-01-01,EE3600109476,LHV Pensionifond Eesti,13241.75,101,135
2020-01-01,EE3600019832,LHV Pensionifond Ettevõtlik,7507929.25,73993,87753
2020-01-01,EE3600109401,LHV Pensionifond Indeks,581442.61,4267,6072
2020-01-01,EE3600019766,LHV Pensionifond Julge,2348536.96,24357,29504
2020-01-01,EE3600019782,LHV Pensionifond Rahulik,277025.27,2624,3586
2020-01-01,EE3600019824,LHV Pensionifond S,551908.69,5631,7194
2020-01-01,EE3600019774,LHV Pensionifond Tasakaalukas,961223.29,10782,12602
2020-01-01,EE3600103503,Luminor 16-50 pensionifond,757171.51,7055,8571
2020-01-01,EE3600098430,Luminor 50-56 pensionifond,2242046.6,20434,24357
2020-01-01,EE3600098448,Luminor 56+ pensionifond,193620.26,1921,2278
2020-01-01,EE3600098455,Luminor 61-65 pensionifond,252032.2,2383,3352
2020-01-01,EE3600103297,SEB Energiline Pensionifond,2114814.39,23671,29425
2020-01-01,EE3600001699,SEB pensionifond 18+,17504.24,179,217
2020-01-01,EE3600019725,SEB pensionifond 55+,5574391.1,60977,71458
2020-01-01,EE3600098612,SEB pensionifond 60+,320165.79,4015,4711
2020-01-01,EE3600019717,SEB pensionifond 65+,593928.3,6704,8366
2020-01-01,EE3600109427,SEB pensionifond indeks,507208.24,4169,5974
2020-01-01,EE3600019741,Swedbanki pensionifond 1960-69 sündinutele,2446913.08,31270,35764
2020-01-01,EE3600019758,Swedbanki pensionifond 1970-79 sündinutele,8766141.03,95071,110780
2020-01-01,EE3600103248,Swedbanki pensionifond 1980-89 sündinutele,6326145.13,71903,89872
2020-01-01,EE3600109393,Swedbanki pensionifond indeks 1990-99 sündinutele,398491.17,4745,6783
2020-01-01,EE3600019733,Swedbanki pensionifond Konservatiivne,529568.04,5877,7437
2020-01-01,EE3600109435,Tuleva Maailma Aktsiate Pensionifond,1704729.99,12106,15884
2020-01-01,EE3600109443,Tuleva Maailma Võlakirjade Pensionifond,161420.03,1223,1918
2020-02-01,EE3600109476,LHV Pensionifond Eesti,11104.86,97,116
2020-02-01,EE3600019832,LHV Pensionifond Ettevõtlik,6731847.75,72893,84508
2020-02-01,EE3600109401,LHV Pensionifond Indeks,479412.03,4474,4944
2020-02-01,EE3600019766,LHV Pensionifond Julge,2106857.11,23976,27574
2020-02-01,EE3600019782,LHV Pensionifond Rahulik,186186.04,2363,2611
2020-02-01,EE3600019824,LHV Pensionifond S,424008.64,5264,5922
2020-02-01,EE3600019774,LHV Pensionifond Tasakaalukas,846503.56,10581,12183
2020-02-01,EE3600103503,Luminor 16-50 pensionifond,715771.3,7277,8506
2020-02-01,EE3600098430,Luminor 50-56 pensionifond,2058422.32,20236,23593
2020-02-01,EE3600098448,Luminor 56+ pensionifond,177420.22,1921,2210
2020-02-01,EE3600098455,Luminor 61-65 pensionifond,173014.17,2177,2408
2020-02-01,EE3600103297,SEB Energiline Pensionifond,1850292.04,23576,26806
2020-02-01,EE3600001699,SEB pensionifond 18+,23082.06,254,277
2020-02-01,EE3600019725,SEB pensionifond 55+,4966753.94,59856,68176
2020-02-01,EE3600098612,SEB pensionifond 60+,279701.19,3902,4463
2020-02-01,EE3600019717,SEB pensionifond 65+,460862.56,6276,7045
2020-02-01,EE3600109427,SEB pensionifond indeks,402833.39,4472,4910
2020-02-01,EE3600019741,Swedbanki pensionifond 1960-69 sündinutele,2175419.36,30673,34588
2020-02-01,EE3600019758,Swedbanki pensionifond 1970-79 sündinutele,7840056.47,93718,106446
2020-02-01,EE3600103248,Swedbanki pensionifond 1980-89 sündinutele,5490102.37,71139,80578
2020-02-01,EE3600109393,Swedbanki pensionifond indeks 1990-99 sündinutele,347351.93,5457,6053
2020-02-01,EE3600019733,Swedbanki pensionifond Konservatiivne,387619.74,5308,5886
2020-02-01,EE3600109435,Tuleva Maailma Aktsiate Pensionifond,1527221.27,12500,14553
2020-02-01,EE3600109443,Tuleva Maailma Võlakirjade Pensionifond,98399.85,1106,1204
2020-03-01,EE3600109476,LHV Pensionifond Eesti,11338.55,109,132
2020-03-01,EE3600019832,LHV Pensionifond Ettevõtlik,6852618.77,73153,84280
2020-03-01,EE3600109401,LHV Pensionifond Indeks,471461.86,4273,4688
2020-03-01,EE3600019766,LHV Pensionifond Julge,2092185.78,23884,27224
2020-03-01,EE3600019782,LHV Pensionifond Rahulik,196399.6,2458,2706
2020-03-01,EE3600001723,LHV Pensionifond Roheline,1559.67,14,17
2020-03-01,EE3600019824,LHV Pensionifond S,413844.01,5180,5790
2020-03-01,EE3600019774,LHV Pensionifond Tasakaalukas,854668.98,10701,12252
2020-03-01,EE3600103503,Luminor 16-50 pensionifond,697535.59,7176,8311
2020-03-01,EE3600098430,Luminor 50-56 pensionifond,2019227.02,20076,23263
2020-03-01,EE3600098448,Luminor 56+ pensionifond,180652.94,1929,2203
2020-03-01,EE3600098455,Luminor 61-65 pensionifond,178860.83,2261,2507
2020-03-01,EE3600103297,SEB Energiline Pensionifond,1843031.37,23257,26261
2020-03-01,EE3600001699,SEB pensionifond 18+,27939.24,297,327
2020-03-01,EE3600019725,SEB pensionifond 55+,4958618.46,59275,67205
2020-03-01,EE3600098612,SEB pensionifond 60+,283413.05,3971,4497
2020-03-01,EE3600019717,SEB pensionifond 65+,473478.36,6369,7125
2020-03-01,EE3600109427,SEB pensionifond indeks,443975.12,4588,5049
2020-03-01,EE3600019741,Swedbanki pensionifond 1960-69 sündinutele,2175048.8,30540,34254
2020-03-01,EE3600019758,Swedbanki pensionifond 1970-79 sündinutele,7801785.86,92895,104760
2020-03-01,EE3600103248,Swedbanki pensionifond 1980-89 sündinutele,5400510.68,70116,78535
2020-03-01,EE3600109393,Swedbanki pensionifond indeks 1990-99 sündinutele,375247.26,5902,6467
2020-03-01,EE3600019733,Swedbanki pensionifond Konservatiivne,409978.86,5526,6099
2020-03-01,EE3600109435,Tuleva Maailma Aktsiate Pensionifond,1569455.34,12697,14804
2020-03-01,EE3600109443,Tuleva Maailma Võlakirjade Pensionifond,112798.21,1168,1276
2020-04-01,EE3600109476,LHV Pensionifond Eesti,10751.04,104,126
2020-04-01,EE3600019832,LHV Pensionifond Ettevõtlik,6184155.28,67773,78027
2020-04-01,EE3600109401,LHV Pensionifond Indeks,426190.37,3774,4174
2020-04-01,EE3600019766,LHV Pensionifond Julge,1862066.82,21689,24656
2020-04-01,EE3600019782,LHV Pensionifond Rahulik,181508.56,2243,2479
2020-04-01,EE3600001723,LHV Pensionifond Roheline,11876.47,100,109
2020-04-01,EE3600019824,LHV Pensionifond S,375831.55,4792,5350
2020-04-01,EE3600019774,LHV Pensionifond Tasakaalukas,799702.1,10048,11478
2020-04-01,EE3600103503,Luminor 16-50 pensionifond,629663.5,6497,7577
2020-04-01,EE3600098430,Luminor 50-56 pensionifond,1807912.52,18352,21215
2020-04-01,EE3600098448,Luminor 56+ pensionifond,165889.69,1725,1995
2020-04-01,EE3600098455,Luminor 61-65 pensionifond,157691.46,2039,2249
2020-04-01,EE3600103297,SEB Energiline Pensionifond,1577999.61,20773,23418
2020-04-01,EE3600001699,SEB pensionifond 18+,25783.96,299,341
2020-04-01,EE3600019725,SEB pensionifond 55+,4462428.93,54574,61914
2020-04-01,EE3600098612,SEB pensionifond 60+,262028.12,3698,4220
2020-04-01,EE3600019717,SEB pensionifond 65+,428334.71,5901,6621
2020-04-01,EE3600109427,SEB pensionifond indeks,400019.65,4239,4623
2020-04-01,EE3600019741,Swedbanki pensionifond 1960-69 sündinutele,1979634.8,28348,31937
2020-04-01,EE3600019758,Swedbanki pensionifond 1970-79 sündinutele,7041771.88,85400,96560
2020-04-01,EE3600103248,Swedbanki pensionifond 1980-89 sündinutele,4710751.61,62612,70113
2020-04-01,EE3600109393,Swedbanki pensionifond indeks 1990-99 sündinutele,337536.19,5300,5707
2020-04-01,EE3600019733,Swedbanki pensionifond Konservatiivne,372443.72,5198,5729
2020-04-01,EE3600109435,Tuleva Maailma Aktsiate Pensionifond,1490030.69,12100,14107
2020-04-01,EE3600109443,Tuleva Maailma Võlakirjade Pensionifond,98740.31,1060,1160
2020-05-01,EE3600109476,LHV Pensionifond Eesti,13128.72,106,128
2020-05-01,EE3600019832,LHV Pensionifond Ettevõtlik,6876937.17,70317,85944
2020-05-01,EE3600109401,LHV Pensionifond Indeks,485744.61,3888,4591
2020-05-01,EE3600019766,LHV Pensionifond Julge,2123228.11,22755,27642
2020-05-01,EE3600019782,LHV Pensionifond Rahulik,196332.77,2328,2710
2020-05-01,EE3600001723,LHV Pensionifond Roheline,22396.36,158,186
2020-05-01,EE3600019824,LHV Pensionifond S,405611.09,4881,5774
2020-05-01,EE3600019774,LHV Pensionifond Tasakaalukas,848241.19,10279,12384
2020-05-01,EE3600103503,Luminor 16-50 pensionifond,713830.94,6695,8278
2020-05-01,EE3600098430,Luminor 50-56 pensionifond,2075470.27,18911,23278
2020-05-01,EE3600098448,Luminor 56+ pensionifond,170936.14,1766,2152
2020-05-01,EE3600098455,Luminor 61-65 pensionifond,183663.16,2088,2480
2020-05-01,EE3600103297,SEB Energiline Pensionifond,1774898.57,21786,26230
2020-05-01,EE3600001699,SEB pensionifond 18+,32168.99,332,411
2020-05-01,EE3600019725,SEB pensionifond 55+,4916560.62,56201,67512
2020-05-01,EE3600098612,SEB pensionifond 60+,284636.69,3784,4526
2020-05-01,EE3600019717,SEB pensionifond 65+,469777.74,6045,7087
2020-05-01,EE3600109427,SEB pensionifond indeks,443786.43,4522,5253
