period_date,isin,inflow_count,outflow_count,inflow_amount,outflow_amount
2020-01-02,EE3600019717,193,475,1174784.76,1319277.35
2020-01-02,EE3600019725,1020,2551,3566003.27,14126746.17
2020-01-02,EE3600019733,447,289,2651616.81,801076.75
2020-01-02,EE3600019741,602,720,3535751.03,4302933.33
2020-01-02,EE3600019758,1672,2731,7715328.85,17905003.07
2020-01-02,EE3600019766,1695,2478,5380615.59,10951772.95
2020-01-02,EE3600019774,809,872,6002136.73,5403693.78
2020-01-02,EE3600019782,130,396,1118882.33,1100695.31
2020-01-02,EE3600019824,59,707,552188.16,3122446.63
2020-01-02,EE3600019832,3418,5114,18568828.0,34170757.21
2020-01-02,EE3600098430,1271,1351,12036607.95,9874654.67
2020-01-02,EE3600098448,238,165,2331889.03,1246592.86
2020-01-02,EE3600098455,200,328,2457890.96,896925.75
2020-01-02,EE3600098612,286,215,1376007.97,977583.32
2020-01-02,EE3600103297,2326,1209,8401448.04,4374200.95
2020-01-02,EE3600103503,1477,694,8727241.43,2989101.6
2020-01-02,EE3600103248,2971,2716,10222236.13,10354351.68
2020-01-02,EE3600109401,776,219,5351470.06,782308.04
2020-01-02,EE3600109393,1061,155,2016925.88,236468.69
2020-01-02,EE3600109427,874,176,4494586.93,404898.0
2020-01-02,EE3600109443,188,178,1867551.49,253228.68
2020-01-02,EE3600109435,2065,170,16004668.26,577394.77
2020-01-02,EE3600109476,37,52,59528.2,112666.83
2020-01-02,EE3600001699,147,1,670627.8,37.27
2020-05-04,EE3600019717,418,404,3035798.17,1249928.3
2020-05-04,EE3600019725,683,2390,2098113.07,13632132.87
2020-05-04,EE3600019733,902,278,7389228.5,1672380.04
2020-05-04,EE3600019741,747,793,4940661.9,5844042.0
2020-05-04,EE3600019758,1243,3016,6099594.46,20744950.5
2020-05-04,EE3600019766,1639,2255,4768795.16,10381480.74
2020-05-04,EE3600019774,988,727,6784526.04,4638208.86
2020-05-04,EE3600019782,361,319,3050345.07,1243675.71
2020-05-04,EE3600019824,148,560,927857.45,2639017.94
2020-05-04,EE3600019832,3773,4144,19295880.35,27506548.15
2020-05-04,EE3600098430,664,1344,6035977.5,9510170.89
2020-05-04,EE3600098448,163,192,1584949.89,1367951.71
2020-05-04,EE3600098455,263,318,2481117.31,1112654.99
2020-05-04,EE3600098612,369,204,2045074.44,1047013.07
2020-05-04,EE3600103297,1493,1301,5094493.33,4836622.32
2020-05-04,EE3600103503,992,839,5870579.11,3917877.12
2020-05-04,EE3600103248,2262,2911,10016204.24,11235772.16
2020-05-04,EE3600109401,932,295,6925527.84,650059.34
2020-05-04,EE3600109393,1612,197,4470983.65,270027.46
2020-05-04,EE3600109427,1137,235,6356779.95,363059.53
2020-05-04,EE3600109443,263,184,1765958.52,799436.26
