stock_id,name,weight,location,sector
NVDA|United States,NVIDIA CORP,5.3341899999999995,United States,Information Technology
AAPL|United States,APPLE INC,4.55473,United States,Information Technology
MSFT|United States,MICROSOFT CORP,3.39823,United States,Information Technology
AMZN|United States,AMAZON COM INC,2.45363,United States,Consumer Discretionary
GOOGL|United States,ALPHABET INC CLASS A,2.1197,United States,Communication
AVGO|United States,BROADCOM INC,1.83114,United States,Information Technology
GOOG|United States,ALPHABET INC CLASS C,1.77534,United States,Communication
META|United States,META PLATFORMS INC CLASS A,1.6927699999999999,United States,Communication
TSLA|United States,TESLA INC,1.3402399999999999,United States,Consumer Discretionary
2330|Taiwan,TAIWAN SEMICONDUCTOR MANUFACTURING,1.3096605744125325,Taiwan,Information Technology
LLY|United States,ELI LILLY,0.95868,United States,Health Care
JPM|United States,JPMORGAN CHASE & CO,0.93417,United States,Financials
BRKB|United States,BERKSHIRE HATHAWAY INC CLASS B,0.80623,United States,Financials
ASML|Netherlands,ASML HOLDING NV,0.7631299999999999,Netherlands,Information Technology
XOM|United States,EXXON MOBIL CORP,0.7422599999999999,United States,Energy
JNJ|United States,JOHNSON & JOHNSON,0.69689,United States,Health Care
WMT|United States,WALMART INC,0.65152,United States,Consumer Staples
V|United States,VISA INC CLASS A,0.62701,United States,Financials
005930|Korea (South),SAMSUNG ELECTRONICS LTD,0.5514360313315926,Korea (South),Information Technology
MU|United States,MICRON TECHNOLOGY INC,0.54218,United States,Information Technology
COST|United States,COSTCO WHOLESALE CORP,0.52584,United States,Consumer Staples
MA|United States,MASTERCARD INC CLASS A,0.51767,United States,Financials
NFLX|United States,NETFLIX INC,0.48863999999999996,United States,Communication
ABBV|United States,ABBVIE INC,0.47821,United States,Health Care
AZN|United Kingdom,ASTRAZENECA PLC,0.43019999999999997,United Kingdom,Health Care
ROG|Switzerland,ROCHE HOLDING PAR AG,0.42867999999999995,Switzerland,Health Care
HD|United States,HOME DEPOT INC,0.42467,United States,Consumer Discretionary
NOVN|Switzerland,NOVARTIS AG,0.42049000000000003,Switzerland,Health Care
700|China,TENCENT HOLDINGS LTD,0.4135770234986945,China,Communication
HSBA|United Kingdom,HSBC HOLDINGS PLC,0.4123,United Kingdom,Financials
GE|United States,GE AEROSPACE,0.40833,United States,Industrials
PLTR|United States,PALANTIR TECHNOLOGIES INC CLASS A,0.40833,United States,Information Technology
BAC|United States,BANK OF AMERICA CORP,0.39790000000000003,United States,Financials
CAT|United States,CATERPILLAR INC,0.39790000000000003,United States,Industrials
AMD|United States,ADVANCED MICRO DEVICES INC,0.38972999999999997,United States,Information Technology
CSCO|United States,CISCO SYSTEMS INC,0.36296,United States,Information Technology
MRK|United States,MERCK & CO INC,0.34436,United States,Health Care
AMAT|United States,APPLIED MATERIAL INC,0.32576,United States,Information Technology
LRCX|United States,LAM RESEARCH CORP,0.31759,United States,Information Technology
000660|Korea (South),SK HYNIX INC,0.3101827676240208,Korea (South),Information Technology
ORCL|United States,ORACLE CORP,0.30716,United States,Information Technology
